Rank,Rikishi,Heya,Shusshin,Birth Date,height_cm,weight_kg,wins,losses,ties
M4w,Araiwa,Hanakago,Akita,02.02.1931,169,114,6,9,0
M5e,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,6,9,0
M5w,Narutoumi,Kasugano,Hyogo,01.01.1926,183,90,6,5,4
M6e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181,111,8,7,0
M6w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,12,3,0
M7e,Dewaminato,Dewanoumi,Aomori,14.04.1923,177,98,6,9,0
M7w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,12,3,0
M8e,Naruyama,Onogawa,Hyogo,27.11.1931,176,110,10,5,0
M8w,Yoshinomine,Takashima,Aomori,07.07.1931,173,96,4,11,0
M9e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176,120,4,11,0
M9w,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176,115,10,5,0
M10e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,5,10,0
M10w,Osegawa,Araiso,Aomori,01.02.1927,179,115,5,10,0
M11e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,8,7,0
M11w,Shimanishiki,Takasago,Osaka,26.09.1928,174,135,11,4,0
M12e,Miyanishiki,Takasago,Iwate,30.05.1927,171,119,7,8,0
M12w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173,94,8,7,0
M13e,Kuninobori,Takasago,Tokyo,18.04.1925,174,126,5,10,0
M13w,Dewanohana,Dewanoumi,Aomori,01.11.1928,176,94,0,0,15
M14e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183,110,6,9,0
M14w,Wakasegawa,Araiso,Hyogo,20.02.1920,176,110,10,5,0
M15e,Hoshikabuto,Izutsu,Chiba,20.02.1926,171,107,8,7,0
M15w,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193,117,10,5,0
M16e,Fukunoumi,Asahiyama,Fukui,28.04.1930,175,108,6,9,0
M16w,Orochigata,Nishikijima,Akita,20.05.1919,179,120,5,10,0
M17e,Kaminishiki,Takashima,Aomori,28.08.1925,180,96,7,8,0
M17w,Onoura,Hanakago,Akita,21.10.1925,171,99,7,8,0
M18e,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175,118,8,7,0
M18w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176,103,7,8,0
M19e,Kiunzan,Oitekaze,Niigata,02.01.1932,180,81,7,8,0
M19w,Yoshiiyama,Dewanoumi,Fukuoka,13.03.1924,182,92,9,6,0
M20e,Tachikaze,Izutsu,Kagoshima,02.08.1930,175,90,4,11,0
M20w,Takanishiki,Takasago,Kumamoto,12.02.1934,168,152,8,7,0
M21e,Maenoyama,Takasago,Ehime,02.07.1931,176,102,4,11,0
M21w,Hirakagawa,Tatsunami,Akita,31.03.1924,179,100,9,6,0
M22e,Kamioiyama,Nishonoseki,Kagawa,24.05.1931,173,90,9,6,0
M22w,Yasome,Kasugano,Tochigi,01.07.1929,172,93,9,6,0
M22eHD,Hiodoshi,Nishikijima,Akita,22.08.1922,179,120,6,9,0
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177,132,11,4,0
Y1w,Yoshibayama,Takashima,Hokkaido,03.04.1920,179,143,3,6,6
Y2eHD,Kagamisato,Tokitsukaze,Aomori,30.04.1923,174,162,9,6,0
Y2wHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190,122,12,3,0
O1e,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,13,2,0
O1w,Asashio,Takasago,Hyogo,13.11.1929,189,145,10,5,0
O2eHD,Matsunobori,Oyama,Chiba,20.07.1924,172,154,0,0,15
S1e,Kotogahama,Nishonoseki,Kagawa,10.10.1927,177,117,11,4,0
S1w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182,137,6,9,0
S2eHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,8,7,0
K1e,Shimizugawa,Oitekaze,Hyogo,13.08.1925,176,115,7,8,0
K1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181,120,5,10,0
K2wHD,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,8,7,0
M1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181,111,5,10,0
M1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,9,6,0
M2e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,3,12,0
M2w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,4,11,0
M3e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183,110,2,13,0
M3w,Araiwa,Hanakago,Akita,02.02.1931,169,114,5,8,2
M4e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176,120,6,9,0
M4w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,7,8,0
M5e,Shimanishiki,Takasago,Osaka,26.09.1928,174,135,4,11,0
M5w,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193,117,11,4,0
M6e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185,108,8,7,0
M6w,Wakasegawa,Araiso,Hyogo,20.02.1920,176,110,9,6,0
M7e,Hoshikabuto,Izutsu,Chiba,20.02.1926,171,107,5,10,0
M7w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177,109,9,6,0
M8e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176,150,5,10,0
M8w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,11,4,0
M9e,Kaizan,Nishonoseki,Saga,13.10.1928,181,102,8,7,0
M9w,Osegawa,Araiso,Aomori,01.02.1927,179,115,8,7,0
M10e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,10,5,0
M10w,Fukunoumi,Asahiyama,Fukui,28.04.1930,175,108,4,11,0
M11e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176,118,9,6,0
M11w,Narutoumi,Kasugano,Hyogo,01.01.1926,183,90,9,6,0
M12e,Koinose,Asahiyama,Ehime,21.01.1930,170,105,5,10,0
M12w,Otachi,Dewanoumi,Fukuoka,06.10.1923,194,180,8,7,0
M13e,Atagoyama,Takasago,Ehime,11.01.1936,177,117,5,10,0
M13w,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173,94,9,6,0
M14e,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202,152,12,3,0
M14w,Oikawa,Takasago,Iwate,11.01.1936,176,120,7,8,0
M15e,Hirosegawa,Araiso,Miyagi,28.02.1919,180,105,8,7,0
M15w,Kuninobori,Takasago,Tokyo,18.04.1925,174,126,9,6,0
M16e,Naruyama,Onogawa,Hyogo,27.11.1931,176,110,9,6,0
M16w,Yasome,Kasugano,Tochigi,01.07.1929,172,93,7,8,0
M17e,Maenoyama,Takasago,Ehime,02.07.1931,176,102,7,8,0
M17w,Dewaminato,Dewanoumi,Aomori,14.04.1923,177,98,5,10,0
M18e,Yoshinomine,Takashima,Aomori,07.07.1931,173,96,9,6,0
M18w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177,73,7,8,0
M19e,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,7,8,0
M19w,Miyanishiki,Takasago,Iwate,30.05.1927,171,119,8,7,0
M20e,Ononishiki,Onogawa,Osaka,20.03.1922,176,98,7,8,0
M20w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176,103,9,6,0
M21e,Hakuryuyama,Araiso,Akita,10.03.1926,176,109,3,12,0
M21w,Takanishiki,Takasago,Kumamoto,12.02.1934,168,152,9,6,0
Y1e,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,14,1,0
Y1w,Tochinishiki,Kasugano,Tokyo,20.02.1925,177,132,10,5,0
Y2eHD,Chiyonoyama,Dewanoumi,Hokkaido,02.06.1926,190,122,3,3,9
O1e,Asashio,Takasago,Hyogo,13.11.1929,189,145,11,4,0
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177,117,2,6,7
S1e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182,137,9,6,0
S1w,Matsunobori,Oyama,Chiba,20.07.1924,172,154,3,12,0
S2wHD,Tamanoumi,Nishonoseki,Oita,02.01.1923,181,120,9,6,0
K1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181,111,4,11,0
K1w,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,7,8,0
K2eHD,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,10,5,0
M1e,Shinobuyama,Onogawa,Fukushima,21.03.1925,177,109,8,7,0
M1w,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,10,5,0
M2e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,0,0,15
M2w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,9,6,0
M3e,Wakasegawa,Araiso,Hyogo,20.02.1920,176,110,0,2,13
M3w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176,118,3,12,0
M4e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,9,6,0
M4w,Wakachichibu,Hanakago,Saitama,16.03.1939,175,150,10,5,0
M5e,Kuninobori,Takasago,Tokyo,18.04.1925,174,126,7,8,0
M5w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183,110,6,9,0
M6e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176,150,6,9,0
M6w,Wakanoumi,Hanakago,Akita,02.02.1931,169,114,9,6,0
M7e,Osegawa,Araiso,Aomori,01.02.1927,179,115,5,10,0
M7w,Naruyama,Onogawa,Hyogo,27.11.1931,176,110,8,7,0
M8e,Hajimayama,Dewanoumi,Gifu,23.04.1922,176,120,8,7,0
M8w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,10,5,0
M9e,Shimanishiki,Takasago,Osaka,26.09.1928,174,135,6,9,0
M9w,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,10,5,0
M10e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173,119,11,4,0
M10w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,8,7,0
M11e,Kaizan,Nishonoseki,Saga,13.10.1928,181,102,8,7,0
M11w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177,73,9,6,0
M12e,Tokinishiki,Tokitsukaze,Fukuoka,13.02.1931,193,117,4,11,0
M12w,Izuminada,Tokitsukaze,Osaka,30.09.1928,176,103,8,7,0
M13e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188,133,7,8,0
M13w,Ouchiyama,Tokitsukaze,Ibaraki,19.06.1926,202,152,4,11,0
M14e,Narutoumi,Kasugano,Hyogo,01.01.1926,183,90,4,11,0
M14w,Hanenishiki,Takashima,Hyogo,17.10.1935,180,135,4,6,5
M15e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185,108,8,7,0
M15w,Yoshinomine,Takashima,Aomori,07.07.1931,173,96,7,8,0
M16e,Togashi,Isenoumi,Yamagata,29.11.1938,188,139,8,7,0
M16w,Atagoyama,Takasago,Ehime,11.01.1936,177,117,9,6,0
M17e,Oikawa,Takasago,Iwate,11.01.1936,176,120,7,8,0
M17w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182,120,8,7,0
M18e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175,136,5,10,0
M18w,Hoshikabuto,Izutsu,Chiba,20.02.1926,171,107,7,8,0
M19e,Wakabayama,Tokitsukaze,Fukuoka,09.11.1922,173,94,9,6,0
M19w,Kiyoenami,Tatsunami,Ishikawa,24.06.1923,175,118,3,12,0
M20e,Miyanishiki,Takasago,Iwate,30.05.1927,171,119,8,7,0
M20w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174,108,8,7,0
Y1e,Tochinishiki,Kasugano,Tokyo,20.02.1925,177,132,14,1,0
Y1w,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,0,3,12
Y2eHD,Asashio,Takasago,Hyogo,13.11.1929,189,145,11,4,0
O1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,7,8,0
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177,117,9,6,0
S1e,Annenyama,Tatsunami,Hokkaido,23.02.1934,181,111,8,7,0
S1w,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173,119,9,6,0
S2wHD,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,6,9,0
K1e,Kashiwado,Isenoumi,Yamagata,29.11.1938,188,139,9,6,0
K1w,Tamanoumi,Nishonoseki,Oita,02.01.1923,181,120,4,11,0
K2eHD,Wakanoumi,Hanakago,Akita,02.02.1931,169,114,8,7,0
M1e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,7,8,0
M1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,8,7,0
M2e,Fujinishiki,Takasago,Yamanashi,18.03.1937,175,136,9,6,0
M2w,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176,118,6,9,0
M3e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,9,6,0
M3w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182,120,5,10,0
M4e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,9,6,0
M4w,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,6,9,0
M5e,Naruyama,Onogawa,Hyogo,27.11.1931,176,110,8,7,0
M5w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,10,5,0
M6e,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183,110,9,6,0
M6w,Shinobuyama,Onogawa,Fukushima,21.03.1925,177,109,4,11,0
M7e,Matsunobori,Oyama,Chiba,20.07.1924,172,154,7,8,0
M7w,Wakachichibu,Hanakago,Saitama,16.03.1939,175,150,7,8,0
M8e,Wakamisugi,Hanakago,Kagawa,24.09.1937,188,133,7,8,0
M8w,Atagoyama,Takasago,Ehime,11.01.1936,177,117,2,4,9
M9e,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182,137,6,9,0
M9w,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,9,6,0
M10e,Hanenishiki,Takashima,Hyogo,17.10.1935,180,135,6,9,0
M10w,Kaizan,Nishonoseki,Saga,13.10.1928,181,102,10,5,0
M11e,Oikawa,Takasago,Iwate,11.01.1936,176,120,7,8,0
M11w,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181,119,6,9,0
M12e,Tamahibiki,Nishonoseki,Oita,03.10.1935,178,98,10,5,0
M12w,Narutoumi,Kasugano,Hyogo,01.01.1926,183,90,6,9,0
M13e,Mitsuneyama,Takashima,Tokyo,07.02.1922,176,150,4,4,7
M13w,Taiho,Nishonoseki,Hokkaido,29.05.1940,187,101,12,3,0
M14e,Izuminada,Tokitsukaze,Osaka,30.09.1928,176,103,4,11,0
M14w,Wakanokuni,Hanakago,Gifu,04.04.1936,181,125,9,6,0
M15e,Myobudani,Miyagino,Hokkaido,29.04.1937,189,113,5,10,0
M15w,Udagawa,Miyagino,Tokyo,03.12.1939,179,110,7,8,0
M16e,Futatsuryu,Tokitsukaze,Hokkaido,03.03.1930,185,108,5,10,0
M16w,Kiryugawa,Tokitsukaze,Aomori,02.12.1923,177,73,5,10,0
Y1e,Asashio,Takasago,Hyogo,13.11.1929,189,145,9,6,0
Y1w,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,12,3,0
O1e,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,10,5,0
O1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188,139,13,2,0
O2eHD,Taiho,Nishonoseki,Hokkaido,29.05.1940,187,123,10,5,0
O2wHD,Kotogahama,Sadogatake,Kagawa,10.10.1927,177,117,12,3,0
S1e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173,119,8,7,0
S1w,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,8,7,0
S2eHD,Wakamisugi,Hanakago,Kagawa,24.09.1937,188,133,5,10,0
K1e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176,118,8,7,0
K1w,Annenyama,Tatsunami,Hokkaido,23.02.1934,181,111,8,7,0
M1e,Aonosato,Tokitsukaze,Aomori,13.11.1935,182,120,6,9,0
M1w,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,5,10,0
M2e,Tochinoumi,Kasugano,Aomori,13.03.1938,177,110,0,0,15
M2w,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,4,11,0
M3e,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,10,5,0
M3w,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181,125,4,11,0
M4e,Kaizan,Nishonoseki,Saga,13.10.1928,181,102,4,11,0
M4w,Fujinishiki,Takasago,Yamanashi,18.03.1937,175,136,10,5,0
M5e,Wakanoumi,Hanakago,Akita,02.02.1931,169,114,6,9,0
M5w,Tamahibiki,Nishonoseki,Oita,03.10.1935,178,98,5,10,0
M6e,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,8,7,0
M6w,Maedagawa,Takasago,Iwate,09.02.1939,170,117,5,10,0
M7e,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,8,7,0
M7w,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,9,6,0
M8e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,9,6,0
M8w,Udagawa,Miyagino,Tokyo,03.12.1939,179,110,6,9,0
M9e,Kairyuyama,Isegahama,Akita,28.08.1939,179,116,7,8,0
M9w,Shionishiki,Tokitsukaze,Kumamoto,25.09.1924,183,110,8,7,0
M10e,Myobudani,Miyagino,Hokkaido,29.04.1937,189,113,8,7,0
M10w,Wakasugiyama,Tokitsukaze,Fukuoka,24.01.1933,177,120,7,8,0
M11e,Oikawa,Takasago,Iwate,11.01.1936,176,120,4,11,0
M11w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174,108,7,8,0
M12e,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182,129,10,5,0
M12w,Wakachichibu,Hanakago,Saitama,16.03.1939,175,150,7,8,0
M13e,Tamanoumi,Nishonoseki,Oita,02.01.1923,181,120,7,8,0
M13w,Wakanokuni,Hanakago,Gifu,04.04.1936,181,125,4,11,0
M14e,Fukudayama,Dewanoumi,Nagasaki,18.07.1931,181,94,7,8,0
M14w,Tokitsuyama,Tatsunami,Fukushima,10.03.1925,182,137,1,6,8
M15e,Shinoburyu,Onogawa,Ibaraki,28.06.1940,172,120,8,7,0
M15w,Matsunobori,Oyama,Chiba,20.07.1924,172,154,10,5,0
Y1e,Taiho,Nishonoseki,Hokkaido,29.05.1940,187,124,13,2,0
Y1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188,139,10,5,0
Y2e,Wakanohana,Hanakago,Aomori,16.03.1928,179,105,11,4,0
Y2w,Asashio,Takasago,Hyogo,13.11.1929,189,145,0,0,15
O1e,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173,119,8,7,0
O1w,Kotogahama,Sadogatake,Kagawa,10.10.1927,177,117,9,6,0
S1e,Tochinoumi,Kasugano,Aomori,13.03.1938,177,110,9,6,0
S1w,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182,129,9,6,0
S2eHD,Haguroyama,Tatsunami,Hokkaido,23.02.1934,181,111,10,5,0
S2wHD,Wakahaguro,Tatsunami,Kanagawa,25.11.1934,176,150,9,6,0
K1e,Iwakaze,Wakamatsu,Tokyo,22.01.1934,174,117,1,14,0
K1w,Fujinishiki,Takasago,Yamanashi,18.03.1937,175,136,4,11,0
K2eHD,Kairyuyama,Isegahama,Akita,28.08.1939,179,116,4,11,0
K2wHD,Wakamisugi,Hanakago,Kagawa,24.09.1937,188,133,8,7,0
M1e,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,7,8,0
M1w,Aonosato,Tokitsukaze,Aomori,13.11.1935,182,120,8,7,0
M2e,Kainoyama,Onogawa,Ibaraki,28.06.1940,172,120,4,11,0
M2w,Kanenohana,Dewanoumi,Kanagawa,11.10.1936,181,119,6,9,0
M3e,Udagawa,Miyagino,Tokyo,03.12.1939,179,110,5,10,0
M3w,Wakamaeda,Takasago,Aichi,24.11.1930,174,129,5,10,0
M4e,Myobudani,Miyagino,Hokkaido,29.04.1937,189,113,6,9,0
M4w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,11,4,0
M5e,Wakachichibu,Hanakago,Saitama,16.03.1939,175,150,11,4,0
M5w,Dewanishiki,Dewanoumi,Tokyo,15.07.1925,181,143,11,4,0
M6e,Maedagawa,Takasago,Iwate,09.02.1939,170,117,5,10,0
M6w,Tsunenishiki,Dewanoumi,Fukushima,31.05.1931,174,108,7,8,0
M7e,Kitanonada,Tatsunami,Hokkaido,01.02.1923,180,120,5,10,0
M7w,Toyokuni,Tokitsukaze,Oita,30.11.1937,176,131,11,4,0
M8e,Hagurohana,Tatsunami,Hokkaido,28.03.1936,181,125,9,6,0
M8w,Tsurugamine,Izutsu,Kagoshima,26.04.1929,177,114,11,4,0
M9e,Yutakayama,Tokitsukaze,Niigata,18.08.1937,189,137,12,3,0
M9w,Ichinoya,Kasugano,Aomori,30.06.1937,173,86,9,6,0
M10e,Ohikari,Dewanoumi,Hokkaido,24.09.1927,181,115,8,7,0
M10w,Wakatenryu,Hanakago,Kyoto,01.01.1940,175,106,2,13,0
M11e,Fusanishiki,Wakamatsu,Chiba,03.01.1936,176,118,8,7,0
M11w,Wakanokuni,Hanakago,Gifu,04.04.1936,181,125,4,11,0
M12e,Wakakoma,Hanakago,Akita,20.04.1937,170,83,3,12,0
M12w,Wakanoumi,Hanakago,Akita,02.02.1931,169,114,8,7,0
M13e,Amatsukaze,Tokitsukaze,Ishikawa,01.12.1937,179,124,5,10,0
M13w,Oiteyama,Oitekaze,Aomori,16.06.1938,181,131,9,6,0
M14e,Miyabashira,Nishonoseki,Saga,14.01.1936,185,108,3,12,0
Y1e,Taiho,Nishonoseki,Hokkaido,29.05.1940,187,124,14,1,0
Y1w,Kashiwado,Isenoumi,Yamagata,29.11.1938,188,139,0,0,15
O1e,Sadanoyama,Dewanoumi,Nagasaki,18.02.1938,182,129,12,3,0
O1w,Tochihikari,Kasugano,Kumamoto,29.08.1933,176,128,9,6,0
O2eHD,Tochinoumi,Kasugano,Aomori,13.03.1938,177,110,9,6,0
O2wHD,Kitabayama,Tokitsukaze,Hokkaido,17.05.1935,173,119,9,6,0
S1e,Yutakayama,Tokitsukaze,Niigata,18.08.1937,189,137,13,2,0
S1w,Oginohana,Dewanoumi,Saga,29.11.1935,174,124,8,7,0
