season,tour,date,location,event,bull,score
2025,Unleash The Beast,2025-05-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Night Agent,88.25
2025,Unleash The Beast,2025-05-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Pegasus,87.5
2025,Unleash The Beast,2025-05-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Tigger,77.75
2025,Unleash The Beast,2025-05-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,The Kraken,0
2025,Unleash The Beast,2025-05-11,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Top Dollar,86.5
2025,Unleash The Beast,2025-05-10,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Rip,0
2025,Unleash The Beast,2025-05-09,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Fringe Minority,88.75
2025,Unleash The Beast,2025-05-08,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,July,88
2025,Unleash The Beast,2025-04-27,"Tacoma, WA",PBR TACOMA,Cool Whip,88.25
2025,Unleash The Beast,2025-04-27,"Tacoma, WA",PBR TACOMA,Big Chili,87
2025,Unleash The Beast,2025-04-26,"Tacoma, WA",PBR TACOMA,Trust Issues,0
2025,Unleash The Beast,2025-04-19,"Nampa, ID",PROGRESSIVE PBR NAMPA,Warpaint,0
2025,Unleash The Beast,2025-04-18,"Nampa, ID",PROGRESSIVE PBR NAMPA,Buttercup,0
2025,Unleash The Beast,2025-04-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Rockville,87
2025,Unleash The Beast,2025-04-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Country Club,83.25
2025,Unleash The Beast,2025-04-11,"Billings, MT",COOPER TIRES PBR BILLINGS,Prince Charming,87
2025,Unleash The Beast,2025-04-06,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Magic Potion,0
2025,Unleash The Beast,2025-04-06,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,The Kraken,87.75
2025,Unleash The Beast,2025-04-05,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,I'm a Hostage,0
2025,Unleash The Beast,2025-04-04,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Mesquite,0
2025,Unleash The Beast,2025-03-30,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Big Chili,0
2025,Unleash The Beast,2025-03-30,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Irish Car Bomb,0
2025,Unleash The Beast,2025-03-29,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,The Kraken,87.5
2025,Unleash The Beast,2025-03-28,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL,Hunter,86.5
2025,Unleash The Beast,2025-01-11,"Chicago, IL",PBR CHICAGO,Gravedigger,0
2025,Unleash The Beast,2025-01-11,"Chicago, IL",PBR CHICAGO,Mouse Trap,0
2025,Unleash The Beast,2025-01-10,"Chicago, IL",PBR CHICAGO,Lever Action,86.75
2025,Unleash The Beast,2025-01-10,"Chicago, IL",PBR CHICAGO,Grey Fox,83.5
2025,Unleash The Beast,2025-01-05,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Always Been Crazy,0
2025,Unleash The Beast,2025-01-05,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Big Red,85.25
2025,Unleash The Beast,2025-01-04,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Big X,88.5
2025,Unleash The Beast,2025-01-03,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Bandito Bug,0
2025,Unleash The Beast,2024-12-28,"Albany, NY",PBR ALBANY,Fire Magic,84.25
2025,Unleash The Beast,2024-12-28,"Albany, NY",PBR ALBANY,Gangster Show,74.25
2025,Unleash The Beast,2024-12-27,"Albany, NY",PBR ALBANY,Mr. Vaquero,87.75
2025,Unleash The Beast,2024-12-21,"Manchester, NH",PBR MANCHESTER,Black Squirrel,0
2025,Unleash The Beast,2024-12-20,"Manchester, NH",PBR MANCHESTER,Infectious,85.75
2025,Unleash The Beast,2024-12-14,"Wichita, KS",PBR WICHITA,Top Dollar,0
2025,Unleash The Beast,2024-12-14,"Wichita, KS",PBR WICHITA,Gene's Best,88.5
2025,Unleash The Beast,2024-12-13,"Wichita, KS",PBR WICHITA,Smoke City,80.5
2024,PBR Teams,2024-10-18,"Las Vegas, NV",Game 3: #8 New York Mavericks vs. #3 Florida Freedom,Wingman,87.25
2024,PBR Teams,2024-10-18,"Las Vegas, NV",Game 4: (Last Chance 3-Way Game),Miller Time,0
2024,PBR Teams,2024-10-17,"Las Vegas, NV",2024 PBR Teams: Championships Ride-In Round,Shameless,86.75
2024,PBR Teams,2024-09-27,"Fort Worth, TX",Missouri Thunder @ New York Mavericks,Soul Train,0
2024,PBR Teams,2024-09-26,"Fort Worth, TX",New York Mavericks @ Kansas City Outlaws,Margin of Error,87.5
2024,PBR Teams,2024-09-20,"Greensboro, NC",Florida Freedom @ New York Mavericks,Knucklehead,0
2024,PBR Teams,2024-09-15,"Anaheim, CA",Carolina Cowboys @ New York Mavericks,Long Gone,0
2024,PBR Teams,2024-09-14,"Anaheim, CA",Oklahoma Wildcatters @ New York Mavericks,Little Tex,76
2024,PBR Teams,2024-09-13,"Anaheim, CA",Texas Rattlers @ New York Mavericks,Joy's Bang Bang,0
2024,PBR Teams,2024-09-08,"Kansas City, MO",New York Mavericks @ Nashville Stampede,Gas Money,0
2024,PBR Teams,2024-09-06,"Kansas City, MO",New York Mavericks @ Kansas City Outlaws,Smooth Steel,0
2024,PBR Teams,2024-08-25,"Austin, TX",New York Mavericks @ Carolina Cowboys,Bangarang,0
2024,PBR Teams,2024-08-24,"Austin, TX",Oklahoma Wildcatters @ New York Mavericks,Mighty Mike,0
2024,PBR Teams,2024-08-24,"Austin, TX",Oklahoma Wildcatters @ New York Mavericks,Wingman,0
2024,PBR Teams,2024-08-23,"Austin, TX",New York Mavericks @ Austin Gamblers,Barracuda,86.75
2024,PBR Teams,2024-08-18,"Nashville, TN",New York Mavericks @ Nashville Stampede,Sometimes I Fly,0
2024,PBR Teams,2024-08-17,"Nashville, TN",New York Mavericks @ Texas Rattlers,Alibis,0
2024,PBR Teams,2024-08-10,"New York, NY",Florida Freedom @ New York Mavericks,Whip,85.75
2024,PBR Teams,2024-08-09,"New York, NY",Kansas City Outlaws @ New York Mavericks,Hit or Miss,86
2024,Challenger Series,2024-05-23,"Fort Worth, TX",PBR STOCKYARDS SHOWCASE,Crash Cart,0
2024,Challenger Series,2024-05-23,"Fort Worth, TX",PBR STOCKYARDS SHOWCASE,Half Cocked,0
2024,Challenger Series,2024-05-11,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Jester,0
2024,Challenger Series,2024-05-11,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Survivor,85
2024,Challenger Series,2024-05-11,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Money Machine,0
2024,Challenger Series,2024-05-10,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Court Room,81
2024,Challenger Series,2024-05-09,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Rebel Time,0
2023,Touring Pro Division - USA,2023-01-19,"Fort Worth, TX",PBR STOCKYARDS SHOWCASE,Elkins 800,0
2025,Unleash The Beast,2025-05-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Walk Hard,91
2025,Unleash The Beast,2025-05-18,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Lari's Speck,89.25
2025,Unleash The Beast,2025-05-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Oyster Creek Brawler,90.5
2025,Unleash The Beast,2025-05-17,"Arlington, TX",PBR WORLD FINALS: UNLEASH THE BEAST - CHAMPIONSHIP,Ugly This,88.75
2025,Unleash The Beast,2025-05-11,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Pegasus,91.25
2025,Unleash The Beast,2025-05-10,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Triple Aught,89.25
2025,Unleash The Beast,2025-05-09,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Flapjack,87.5
2025,Unleash The Beast,2025-05-08,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Whiplash,85
2025,Unleash The Beast,2025-05-08,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST -ELIMINATIONS,Dana White's Playmate,0
2025,Unleash The Beast,2025-04-27,"Tacoma, WA",PBR TACOMA,Twisted Magic,0
2025,Unleash The Beast,2025-04-26,"Tacoma, WA",PBR TACOMA,Wooderson,88
2025,Unleash The Beast,2025-04-26,"Tacoma, WA",PBR TACOMA,Whiskey Business,80.5
2025,Unleash The Beast,2025-04-19,"Nampa, ID",PROGRESSIVE PBR NAMPA,Ricky Vaughn,0
2025,Unleash The Beast,2025-04-19,"Nampa, ID",PROGRESSIVE PBR NAMPA,Lights Out,88.25
2025,Unleash The Beast,2025-04-19,"Nampa, ID",PROGRESSIVE PBR NAMPA,Rank Hank,88.25
2025,Unleash The Beast,2025-04-18,"Nampa, ID",PROGRESSIVE PBR NAMPA,Buckaroo,87
2025,Unleash The Beast,2025-04-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Ricky Vaughn,0
2025,Unleash The Beast,2025-04-12,"Billings, MT",COOPER TIRES PBR BILLINGS,Vindicated,87
2025,Unleash The Beast,2025-04-11,"Billings, MT",COOPER TIRES PBR BILLINGS,Rank Hank,88
2025,Unleash The Beast,2025-04-06,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Haymaker,0
2025,Unleash The Beast,2025-04-06,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Hoka Hey,88.5
2025,Unleash The Beast,2025-04-05,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Big Hawk,0
2025,Unleash The Beast,2025-04-04,"Sioux Falls, SD",PREMIER BANKCARD PBR SIOUX FALLS PRESENTED BY COOPER TIRES,Washita Red,88.5
2025,Unleash The Beast,2025-01-25,"Pittsburgh, PA",U.S. BORDER PATROL PBR PITTSBURGH PRESENTED BY ARIAT,Crazy Party,0
2025,Unleash The Beast,2025-01-24,"Pittsburgh, PA",U.S. BORDER PATROL PBR PITTSBURGH PRESENTED BY ARIAT,Mr. Koolie,87.5
2025,Unleash The Beast,2025-01-10,"Chicago, IL",PBR CHICAGO,Fifth Avenue,84.25
2025,Unleash The Beast,2025-01-05,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Mr. Nasty,0
2025,Unleash The Beast,2025-01-04,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Black Squirrel,0
2025,Unleash The Beast,2025-01-03,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Roc Wit It,89.75
2025,Unleash The Beast,2024-12-21,"Manchester, NH",PBR MANCHESTER,Huckleberry,0
2025,Unleash The Beast,2024-12-20,"Manchester, NH",PBR MANCHESTER,Velvet Revolver,0
2025,Unleash The Beast,2024-12-14,"Wichita, KS",PBR WICHITA,Drago,0
2025,Unleash The Beast,2024-12-13,"Wichita, KS",PBR WICHITA,Lil' Loco,0
2025,Unleash The Beast,2024-12-08,"St. Louis, MO",PBR ST. LOUIS PRESENTED BY MICHELOB ULTRA,Rockville,0
2025,Unleash The Beast,2024-12-07,"St. Louis, MO",PBR ST. LOUIS PRESENTED BY MICHELOB ULTRA,Windmill,0
2025,Unleash The Beast,2024-11-24,"Ontario, CA",PBR ONTARIO,Umm,90.5
2025,Unleash The Beast,2024-11-24,"Ontario, CA",PBR ONTARIO,HomeBru,90.25
2025,Unleash The Beast,2024-11-23,"Ontario, CA",PBR ONTARIO,I'm Him,87.5
2025,Unleash The Beast,2024-11-16,"Tucson, AZ",PBR TUCSON,Punchy Pete,0
2025,Unleash The Beast,2024-11-15,"Tucson, AZ",PBR TUCSON,Foul Motion,0
2024,PBR Teams,2024-10-20,"Las Vegas, NV",Game 9: #5 Austin Gamblers vs. #1 Kansas City Outlaws,Feeds Red River,89
2024,PBR Teams,2024-10-20,"Las Vegas, NV",Game 12: Championship Game: W1 #5 Austin Gamblers vs. W2 Carolina Cowboys,Tijuana Two-Step,89
2024,PBR Teams,2024-10-19,"Las Vegas, NV",Game 6: #5 Austin Gamblers vs. #2 Carolina Cowboys,Wooderson,89.25
2024,PBR Teams,2024-10-18,"Las Vegas, NV",Game 4: (Last Chance 3-Way Game),Ridin' Solo,0
2024,PBR Teams,2024-10-18,"Las Vegas, NV",Game 1: #6 Missouri Thunder vs. #5 Austin Gamblers,Feeds Red River,90.5
2024,PBR Teams,2024-10-04,"Glendale, AZ",Oklahoma Wildcatters @ Austin Gamblers,Buckshot,0
2024,PBR Teams,2024-10-04,"Glendale, AZ",Oklahoma Wildcatters @ Austin Gamblers,Brindle Badger,0
2024,PBR Teams,2024-09-28,"Fort Worth, TX",Carolina Cowboys @ Austin Gamblers,Shameless,87
2024,PBR Teams,2024-09-28,"Fort Worth, TX",Shootout,Doze You Down,0
2024,PBR Teams,2024-09-27,"Fort Worth, TX",Austin Gamblers @ Texas Rattlers,Killer Instinct,87.5
2024,PBR Teams,2024-09-26,"Fort Worth, TX",Austin Gamblers @ Nashville Stampede,Geronimo,89
2024,PBR Teams,2024-09-26,"Fort Worth, TX",Shootout,Flapjack,91.5
2024,PBR Teams,2024-09-22,"Greensboro, NC",Austin Gamblers @ New York Mavericks,Chacho,88
2024,PBR Teams,2024-09-21,"Greensboro, NC",Austin Gamblers @ Florida Freedom,Am I Blue,0
2024,PBR Teams,2024-09-15,"Anaheim, CA",Austin Gamblers @ Missouri Thunder,Loren's Dream,84
2024,PBR Teams,2024-09-14,"Anaheim, CA",Austin Gamblers @ Nashville Stampede,Quick Show,0
2024,PBR Teams,2024-09-13,"Anaheim, CA",Austin Gamblers @ Arizona Ridge Riders,Geronimo,89.5
2024,PBR Teams,2024-09-07,"Kansas City, MO",Austin Gamblers @ Kansas City Outlaws,Tijuana Two-Step,88
2024,PBR Teams,2024-09-06,"Kansas City, MO",Oklahoma Wildcatters @ Austin Gamblers,Baldy,0
2024,PBR Teams,2024-09-01,"Springfield, MO",Florida Freedom @ Austin Gamblers,Peterbilt,88.25
2024,PBR Teams,2024-08-30,"Springfield, MO",Arizona Ridge Riders @ Austin Gamblers,Riser,87.75
2024,PBR Teams,2024-08-25,"Austin, TX",Shootout,Fast Flow,0
2024,PBR Teams,2024-08-25,"Austin, TX",Missouri Thunder @ Austin Gamblers,Hoka Hey,88.5
2024,PBR Teams,2024-08-24,"Austin, TX",Texas Rattlers @ Austin Gamblers,Outlaw,0
2024,PBR Teams,2024-08-24,"Austin, TX",Texas Rattlers @ Austin Gamblers,Homeboy,0
2024,PBR Teams,2024-08-23,"Austin, TX",New York Mavericks @ Austin Gamblers,Haymaker,0
2024,PBR Teams,2024-08-18,"Nashville, TN",Kansas City Outlaws @ Austin Gamblers,Uncle Jim,0
2024,PBR Teams,2024-08-17,"Nashville, TN",Austin Gamblers @ Carolina Cowboys,Soul Train,0
2024,PBR Teams,2024-08-16,"Nashville, TN",Shootout,Ugly This,91.25
2024,PBR Teams,2024-08-16,"Nashville, TN",Florida Freedom @ Austin Gamblers,Bayou Bad Boy,86.75
2024,PBR Teams,2024-08-10,"New York, NY",Shootout,John 14:6,91.25
2024,PBR Teams,2024-08-10,"New York, NY",Missouri Thunder @ Austin Gamblers,The Judge,85.25
2024,PBR Teams,2024-08-04,"Ft. Lauderdale, FL",Austin Gamblers @ Nashville Stampede,Peanut,86.5
2024,PBR Teams,2024-08-03,"Ft. Lauderdale, FL",Texas Rattlers @ Austin Gamblers,Cooter Brown,86.75
2024,PBR Teams,2024-08-02,"Ft. Lauderdale, FL",Austin Gamblers @ Arizona Ridge Riders,Peanut,86.25
2024,PBR Teams,2024-07-27,"Duluth, GA",Carolina Cowboys @ Austin Gamblers,Sweet John,85.5
2024,PBR Teams,2024-07-26,"Duluth, GA",Austin Gamblers @ New York Mavericks,Silver Shivers,88.25
2024,PBR Teams,2024-07-14,"Oklahoma City, OK",Austin Gamblers @ Oklahoma Wildcatters,Paunchy,0
2024,PBR Teams,2024-07-12,"Oklahoma City, OK",Kansas City Outlaws @ Austin Gamblers,Crazy Times,86.75
2024,Unleash The Beast,2024-03-30,"Nampa, ID",PBR NAMPA PRESENTED BY COOPER TIRES,Cy Young,0
2024,Unleash The Beast,2024-03-29,"Nampa, ID",PBR NAMPA PRESENTED BY COOPER TIRES,Fort Knox,0
2024,Unleash The Beast,2024-03-28,"Nampa, ID",PBR NAMPA PRESENTED BY COOPER TIRES,Buck Nation,87
2024,Unleash The Beast,2024-03-24,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL - A UTB MAJOR,Younts Brody's Pet,0
2024,Unleash The Beast,2024-03-23,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL - A UTB MAJOR,Taylor's Cowtown Throwdown,85.75
2024,Unleash The Beast,2024-03-22,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL - A UTB MAJOR,Big Worm,0
2024,Unleash The Beast,2024-03-22,"Albuquerque, NM",PBR ALBUQUERQUE TY MURRAY INVITATIONAL - A UTB MAJOR,Bubba G,84
2024,Unleash The Beast,2024-02-17,"Los Angeles, CA",MICHELOB ULTRA PBR LOS ANGELES PRESENTED BY ARIAT,Black Gold,0
2024,Unleash The Beast,2024-02-16,"Los Angeles, CA",MICHELOB ULTRA PBR LOS ANGELES PRESENTED BY ARIAT,Mud Train,88.5
2024,Unleash The Beast,2024-02-10,"Salt Lake City, UT",PBR SALT LAKE CITY,Pam's Dream,86.5
2024,Unleash The Beast,2024-02-09,"Salt Lake City, UT",PBR SALT LAKE CITY,DirtyBru,0
2024,Unleash The Beast,2023-12-02,"St. Louis, MO",PBR ST. LOUIS,Old School,68
2024,Unleash The Beast,2023-12-02,"St. Louis, MO",PBR ST. LOUIS,Buffalo Chip,86.25
2024,Unleash The Beast,2023-11-11,"Tucson, AZ",PBR TUCSON,Highwire,90.75
2024,Unleash The Beast,2023-11-11,"Tucson, AZ",PBR TUCSON,Lone Star,82.75
2024,Unleash The Beast,2023-11-10,"Tucson, AZ",PBR TUCSON,Hostage,88.75
2023,PBR Teams,2023-10-22,"Las Vegas, NV",Game 12: (Championship Game: W1 vs. W2),Sugar Smack,89.75
2023,PBR Teams,2023-10-22,"Las Vegas, NV",Game 9: (Missouri Thunder vs. Austin Gamblers),Chateau Montelena's Montana Jacket,88.75
2023,PBR Teams,2023-10-21,"Las Vegas, NV",Game 7: Missouri Thunder (8) @ Austin Gamblers (1),WSM's Sun Country,89
2023,PBR Teams,2023-10-08,"Fort Worth, TX",Austin Gamblers @ Missouri Thunder,Wooderson,0
2023,PBR Teams,2023-10-07,"Fort Worth, TX",Austin Gamblers @ Texas Rattlers,Outlaw,89.25
2023,PBR Teams,2023-10-06,"Fort Worth, TX",Austin Gamblers @ Nashville Stampede,Whiplash,88
2023,PBR Teams,2023-10-01,"Glendale, AZ",Nashville Stampede @ Austin Gamblers,Jasper,0
2023,PBR Teams,2023-09-30,"Glendale, AZ",Austin Gamblers @ Kansas City Outlaws,Bank Roll,0
2023,PBR Teams,2023-09-30,"Glendale, AZ",Austin Gamblers @ Kansas City Outlaws,Chateau Montelena's Montana Jacket,88
2023,PBR Teams,2023-09-29,"Glendale, AZ",Oklahoma Freedom @ Austin Gamblers,Flapjack,91.5
2023,PBR Teams,2023-09-24,"Greensboro, NC",Austin Gamblers @ Oklahoma Freedom,First Class,0
2023,PBR Teams,2023-09-23,"Greensboro, NC",Arizona Ridge Riders @ Austin Gamblers,Roc Wit It,90
2023,PBR Teams,2023-09-22,"Greensboro, NC",Missouri Thunder @ Austin Gamblers,Pelican Punch,87.5
2023,PBR Teams,2023-09-17,"Ridgedale, MO",Carolina Cowboys @ Austin Gamblers,Ridin' Solo,0
2023,PBR Teams,2023-09-16,"Ridgedale, MO",Austin Gamblers @ Oklahoma Freedom,Stranger Danger,86.5
2023,PBR Teams,2023-09-15,"Ridgedale, MO",Austin Gamblers @ Arizona Ridge Riders,No Doubt,87.25
2023,PBR Teams,2023-09-10,"Oklahoma City, OK",Texas Rattlers @ Austin Gamblers,Smooth Whiskey,88
2023,PBR Teams,2023-09-09,"Oklahoma City, OK",Nashville Stampede @ Austin Gamblers,Brusta,89.25
2023,PBR Teams,2023-09-08,"Oklahoma City, OK",Austin Gamblers @ Arizona Ridge Riders,Pearl Pistol,84
2023,PBR Teams,2023-08-26,"Austin, TX",Texas Rattlers @ Austin Gamblers,Untested,87.5
2023,PBR Teams,2023-08-25,"Austin, TX",Kansas City Outlaws @ Austin Gamblers,Chain Breaker,0
2023,PBR Teams,2023-08-20,"Nashville, TN",Missouri Thunder @ Austin Gamblers,Pelican Punch,0
2023,PBR Teams,2023-08-19,"Nashville, TN",Austin Gamblers @ Carolina Cowboys,Buffalo Chip,0
2023,PBR Teams,2023-08-18,"Nashville, TN",Arizona Ridge Riders @ Austin Gamblers,Wild Card,0
2023,PBR Teams,2023-08-13,"Anaheim, CA",Kansas City Outlaws @ Austin Gamblers,Sevens Wild,84.75
2023,PBR Teams,2023-08-13,"Anaheim, CA",Extra Outs,Brusta,91
2023,PBR Teams,2023-08-12,"Anaheim, CA",Carolina Cowboys @ Austin Gamblers,Short Circuit,88.75
2023,PBR Teams,2023-08-05,"Kansas City, MO",Austin Gamblers @ Texas Rattlers,Martini Houdini,87.5
2023,PBR Teams,2023-08-04,"Kansas City, MO",Austin Gamblers @ Carolina Cowboys,Martini Houdini,86.25
2023,PBR Teams,2023-08-03,"Kansas City, MO",Austin Gamblers @ Nashville Stampede,Smoke Down,0
2023,PBR Teams,2023-07-25,"Cheyenne, WY",Extra Outs,I'm Legit Too,90.5
2023,PBR Teams,2023-07-25,"Cheyenne, WY",Austin Gamblers @ Missouri Thunder,Sugar Smack,89.25
2023,PBR Teams,2023-07-24,"Cheyenne, WY",Austin Gamblers @ Kansas City Outlaws,Feeds Red River,90.5
2023,PBR Brazil,2023-06-18,"Americana, SP",Iron Cowboy 2023,Penhasco,78.75
2023,PBR Brazil,2023-06-18,"Americana, SP",Iron Cowboy 2023,Sombra,0
2023,PBR Brazil,2023-06-17,"Americana, SP",Iron Cowboy 2023,Intruso,86.5
2023,PBR Brazil,2023-06-17,"Americana, SP",Iron Cowboy 2023,Telecine,0
2023,PBR Brazil,2023-06-17,"Americana, SP",Iron Cowboy 2023,Moleque,74.75
2023,PBR Brazil,2023-06-16,"Americana, SP",Iron Cowboy 2023,Back Drop,0
2023,Unleash The Beast,2023-05-21,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Yellowknife,0
2023,Unleash The Beast,2023-05-21,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,JAG Metals Grand Theft,90.25
2023,Unleash The Beast,2023-05-20,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Big Johnny Reb,0
2023,Unleash The Beast,2023-05-19,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Wild Card,88.5
2023,Unleash The Beast,2023-05-18,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Big Bank,0
2023,Unleash The Beast,2023-05-14,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Pearl's Ghost,0
2023,Unleash The Beast,2023-05-13,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,JAG Metals Grand Theft,0
2023,Unleash The Beast,2023-05-12,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Blood Moon,0
2023,Unleash The Beast,2023-04-30,"Louisville, KY",PBR COOPER TIRES INVITATIONAL PRESENTED BY KUBOTA,Ivy League,91
2023,Unleash The Beast,2023-04-30,"Louisville, KY",PBR COOPER TIRES INVITATIONAL PRESENTED BY KUBOTA,Wild Card,90
2023,Unleash The Beast,2023-04-29,"Louisville, KY",PBR COOPER TIRES INVITATIONAL PRESENTED BY KUBOTA,Hostage,0
2023,Unleash The Beast,2023-03-18,"New Orleans, LA",PBR UNION HOME MORTGAGE INVITATIONAL,Fastfire,0
2023,Unleash The Beast,2023-03-18,"New Orleans, LA",PBR UNION HOME MORTGAGE INVITATIONAL,Bread Basket,88.5
2023,Unleash The Beast,2023-03-17,"New Orleans, LA",PBR UNION HOME MORTGAGE INVITATIONAL,Hog Wild,72.5
2023,Unleash The Beast,2023-03-12,"Milwaukee, WI",PBR BREW CITY CLASSIC,Woopaa,0
2023,Unleash The Beast,2023-03-12,"Milwaukee, WI",PBR BREW CITY CLASSIC,Air Shift,87
2023,Unleash The Beast,2023-03-11,"Milwaukee, WI",PBR BREW CITY CLASSIC,Spirit World,87.5
2023,Unleash The Beast,2023-03-04,"Little Rock, AR",PBR U.S. BORDER PATROL INVITATIONAL,Baptism By Fire,0
2023,Unleash The Beast,2023-03-03,"Little Rock, AR",PBR U.S. BORDER PATROL INVITATIONAL,Ain't No Joke,80.5
2023,Unleash The Beast,2023-02-26,"Los Angeles, CA",PBR SoCal SHOWDOWN,Sweet Train,0
2023,Unleash The Beast,2023-02-25,"Los Angeles, CA",PBR SoCal SHOWDOWN,Sock Monkey,0
2023,Unleash The Beast,2023-02-18,"Eugene, OR",PBR KUBOTA EMERALD CHUTE OUT,Punchy Pete,0
2023,Unleash The Beast,2023-02-17,"Eugene, OR",PBR KUBOTA EMERALD CHUTE OUT,Chiseled,88.25
2023,Unleash The Beast,2023-02-11,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO - TULSA,I'm Legit Too,0
2023,Unleash The Beast,2023-02-11,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO - TULSA,Rafter P Construction's The Show,88.25
2023,Unleash The Beast,2023-02-10,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO - TULSA,Diamond in the Ruff,88.75
2023,Unleash The Beast,2023-02-05,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,The Right Stuff,87.5
2023,Unleash The Beast,2023-02-05,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,Lil Hott,89.5
2023,Unleash The Beast,2023-02-04,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC 15/15 BUCKING BATTLE,Charmer,86.75
2023,Unleash The Beast,2023-02-03,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,Havoc,85.5
