age_group,place_overall,place_gender,place_division,name,team,bib_number,half_time,finish_net,finish_gun,gender,half_time_sec,finish_net_sec,finish_gun_sec,finish_net_minutes
18-39,71,59,56,"Felton, Ben",Team–,308,1H 11M 7S,2H 24M 46S,2H 24M 47S,M,4267,8686,8687,144.76666666666668
18-39,73,60,57,"Harris, Phillip",Team–,588,1H 12M 40S,2H 24M 50S,2H 24M 56S,M,4360,8690,8696,144.83333333333334
18-39,77,61,58,"Rager, Jack",Team–,485,1H 10M 25S,2H 25M 11S,2H 25M 20S,M,4225,8711,8720,145.18333333333334
18-39,78,62,59,"Haiss, Max",Team–,323,1H 11M 44S,2H 25M 12S,2H 25M 19S,M,4304,8712,8719,145.2
18-39,79,63,60,"Haffner, Brett",Team–,311,1H 11M 57S,2H 25M 32S,2H 25M 39S,M,4317,8732,8739,145.53333333333333
18-39,80,64,61,"Kimpel, Andrew",Team–,347,1H 12M 31S,2H 25M 40S,2H 25M 49S,M,4351,8740,8749,145.66666666666666
18-39,81,65,62,"Ricci, Simon",TeamWest Valley Track Club,391,1H 13M 29S,2H 25M 47S,2H 25M 48S,M,4409,8747,8748,145.78333333333333
18-39,83,66,63,"Castronuovo, Vinny",Team–,296,1H 11M 16S,2H 25M 56S,2H 26M 0S,M,4276,8756,8760,145.93333333333334
18-39,84,67,64,"Purcell, Timothy",Team–,989,1H 12M 14S,2H 26M 1S,2H 26M 6S,M,4334,8761,8766,146.01666666666668
18-39,85,68,65,"Hernandez, Dylan",TeamPacers//Georgetown Running Club-New Balance,299,1H 12M 17S,2H 26M 2S,2H 26M 3S,M,4337,8762,8763,146.03333333333333
18-39,88,71,66,"Walter, David",Team–,283,1H 10M 17S,2H 26M 13S,2H 26M 16S,M,4217,8773,8776,146.21666666666667
18-39,89,72,67,"Degen, George",TeamBoston Athletic Association,291,1H 12M 29S,2H 26M 18S,2H 26M 19S,M,4349,8778,8779,146.3
18-39,90,73,68,"Moll, Quinlan",Team–,242,1H 10M 7S,2H 26M 25S,2H 26M 25S,M,4207,8785,8785,146.41666666666666
18-39,91,74,69,"Muse, Tyler",Team–,293,1H 12M 35S,2H 26M 39S,2H 26M 46S,M,4355,8799,8806,146.65
18-39,92,75,70,"Woollard, Landon",Team–,302,1H 10M 35S,2H 26M 41S,2H 26M 41S,M,4235,8801,8801,146.68333333333334
18-39,93,76,71,"Randal, Max",Team–,316,1H 10M 10S,2H 26M 45S,2H 26M 47S,M,4210,8805,8807,146.75
18-39,94,77,72,"Thompson, Harley",Team–,266,1H 12M 42S,2H 26M 46S,2H 26M 49S,M,4362,8806,8809,146.76666666666668
18-39,95,78,73,"Hoover, Zachary",Team–,335,1H 10M 8S,2H 26M 48S,2H 26M 49S,M,4208,8808,8809,146.8
18-39,97,80,74,"Yanek, Nicholas",Team–,376,1H 11M 10S,2H 26M 55S,2H 27M 0S,M,4270,8815,8820,146.91666666666666
18-39,98,81,75,"Zuerner, Chris",TeamCharlotte Running Club,294,1H 12M 30S,2H 26M 58S,2H 26M 58S,M,4350,8818,8818,146.96666666666667
18-39,99,82,76,"Caron, Patrick",TeamCrow Athletics,4330,1H 13M 13S,2H 27M 3S,2H 28M 29S,M,4393,8823,8909,147.05
18-39,101,83,77,"Gomez, Robert",Team–,483,1H 12M 51S,2H 27M 25S,2H 27M 28S,M,4371,8845,8848,147.41666666666666
18-39,103,85,78,"Gehman, Ryan",Team–,1043,1H 13M 38S,2H 27M 31S,2H 27M 45S,M,4418,8851,8865,147.51666666666668
18-39,104,86,79,"Convey, Kurt",Team–,304,1H 9M 46S,2H 27M 41S,2H 27M 41S,M,4186,8861,8861,147.68333333333334
18-39,105,87,80,"Osterhout, Bram",Team–,286,1H 12M 17S,2H 27M 45S,2H 27M 47S,M,4337,8865,8867,147.75
18-39,106,88,81,"Keogh, Luke",Team–,380,1H 12M 30S,2H 27M 46S,2H 27M 46S,M,4350,8866,8866,147.76666666666668
18-39,108,90,82,"Macandrew, Ross",Team–,318,1H 10M 1S,2H 27M 59S,2H 28M 1S,M,4201,8879,8881,147.98333333333332
18-39,109,91,83,"Stump, Matt",Team–,349,1H 11M 25S,2H 28M 4S,2H 28M 8S,M,4285,8884,8888,148.06666666666666
18-39,111,93,84,"Kovacs, Reid",Team–,571,1H 11M 55S,2H 28M 6S,2H 28M 15S,M,4315,8886,8895,148.1
18-39,112,94,85,"Holmes, Ridley",Team–,295,1H 11M 42S,2H 28M 11S,2H 28M 11S,M,4302,8891,8891,148.18333333333334
18-39,114,95,86,"Green, John",Team–,998,1H 12M 37S,2H 28M 12S,2H 28M 17S,M,4357,8892,8897,148.2
18-39,115,96,87,"Turner, Alex",TeamTracksmith Boston Hares,365,1H 13M 16S,2H 28M 18S,2H 28M 38S,M,4396,8898,8918,148.3
18-39,116,97,88,"Collins, Liam",Team–,521,1H 12M 16S,2H 28M 23S,2H 28M 26S,M,4336,8903,8906,148.38333333333333
18-39,117,98,89,"Brossy, Cosmo",Team–,325,1H 14M 35S,2H 28M 25S,2H 28M 31S,M,4475,8905,8911,148.41666666666666
18-39,118,99,90,"Brady, Michael",TeamOld Goat Track Club,489,1H 12M 26S,2H 28M 29S,2H 28M 29S,M,4346,8909,8909,148.48333333333332
18-39,119,100,91,"Carey, Michael",Team–,419,1H 14M 20S,2H 28M 29S,2H 28M 50S,M,4460,8909,8930,148.48333333333332
18-39,121,102,92,"Peterson, Robert",Team–,604,1H 10M 57S,2H 28M 38S,2H 28M 39S,M,4257,8918,8919,148.63333333333333
18-39,122,103,93,"Hillard, Matthew",Team–,375,1H 14M 22S,2H 28M 39S,2H 28M 46S,M,4462,8919,8926,148.65
18-39,125,105,94,"Horgan, Michael",Team–,317,1H 11M 20S,2H 28M 45S,2H 28M 45S,M,4280,8925,8925,148.75
18-39,127,107,95,"Lumbar, Matthew",Team–,1770,1H 13M 45S,2H 29M 10S,2H 29M 30S,M,4425,8950,8970,149.16666666666666
18-39,128,108,96,"Descavish, Bryce",Team–,382,1H 13M 56S,2H 29M 11S,2H 29M 19S,M,4436,8951,8959,149.18333333333334
18-39,129,109,97,"Asay, Jaydn",Team–,236,1H 10M 35S,2H 29M 11S,2H 29M 12S,M,4235,8951,8952,149.18333333333334
18-39,131,111,98,"Mowery, Lucas",Team–,3097,1H 14M 53S,2H 29M 23S,2H 30M 45S,M,4493,8963,9045,149.38333333333333
18-39,132,112,99,"Davis, Neil",Team–,1712,1H 13M 39S,2H 29M 24S,2H 29M 38S,M,4419,8964,8978,149.4
18-39,134,114,100,"Musumeci, Nicholas",Team–,366,1H 13M 46S,2H 29M 27S,2H 29M 28S,M,4426,8967,8968,149.45
18-39,135,115,101,"Ahlund, Niklas",Team–,709,1H 12M 35S,2H 29M 28S,2H 29M 28S,M,4355,8968,8968,149.46666666666667
18-39,136,116,102,"Giuliani, Robert",TeamGreater  Boston Track Club,387,1H 14M 14S,2H 29M 31S,2H 29M 36S,M,4454,8971,8976,149.51666666666668
18-39,137,117,103,"Macdonald, Sean",TeamTracksmith Boston Hares,352,1H 13M 49S,2H 29M 33S,2H 29M 35S,M,4429,8973,8975,149.55
18-39,138,118,104,"Berndt, Andrew",Team–,3165,1H 13M 26S,2H 29M 33S,2H 30M 13S,M,4406,8973,9013,149.55
18-39,139,119,105,"Arcos, Raul",Team–,507,1H 10M 36S,2H 29M 33S,2H 29M 33S,M,4236,8973,8973,149.55
18-39,140,120,106,"Hulzebos, Jonathan",Team–,621,1H 14M 12S,2H 29M 40S,2H 29M 40S,M,4452,8980,8980,149.66666666666666
18-39,141,121,107,"Schenberger, Mark",Team–,609,1H 12M 25S,2H 29M 42S,2H 29M 49S,M,4345,8982,8989,149.7
18-39,142,122,108,"Clohisey, Mick",Team–,47,1H 10M 29S,2H 29M 48S,2H 29M 48S,M,4229,8988,8988,149.8
18-39,143,123,109,"Predhome, Alexander",TeamTracksmith Boston Hares,285,1H 13M 36S,2H 29M 48S,2H 29M 51S,M,4416,8988,8991,149.8
18-39,144,124,110,"Gonzalez Rio, Simon",Team–,237,1H 12M 1S,2H 29M 51S,2H 29M 54S,M,4321,8991,8994,149.85
18-39,145,125,111,"Monogue, Kevin",Team–,229,1H 14M 59S,2H 29M 52S,2H 29M 59S,M,4499,8992,8999,149.86666666666667
18-39,146,126,112,"Ayaz, Irem Can",Team–,367,1H 13M 41S,2H 30M 0S,2H 30M 0S,M,4421,9000,9000,150
18-39,148,128,113,"Cooper, Tyler",Team–,1004,NA,2H 30M 7S,2H 30M 27S,M,NA,9007,9027,150.11666666666667
18-39,149,129,114,"Rivero, Luis Carlos",Team–,65,1H 11M 6S,2H 30M 7S,2H 30M 7S,M,4266,9007,9007,150.11666666666667
18-39,150,130,115,"Dusseau, Noah",Team–,876,1H 11M 59S,2H 30M 11S,2H 30M 16S,M,4319,9011,9016,150.18333333333334
18-39,152,131,116,"Darda, Joseph",Team–,246,1H 12M 28S,2H 30M 17S,2H 30M 20S,M,4348,9017,9020,150.28333333333333
18-39,153,132,117,"Chairez, Ruben",Team–,420,1H 12M 26S,2H 30M 20S,2H 30M 21S,M,4346,9020,9021,150.33333333333334
18-39,154,133,118,"Zhou, Fan",Team–,281,1H 12M 51S,2H 30M 22S,2H 30M 25S,M,4371,9022,9025,150.36666666666667
18-39,155,134,119,"Wenzel, James",Team–,425,1H 14M 15S,2H 30M 23S,2H 30M 29S,M,4455,9023,9029,150.38333333333333
18-39,156,135,120,"Hebda, Phil",TeamStrawberry Canyon Track Club,348,1H 15M 4S,2H 30M 24S,2H 30M 28S,M,4504,9024,9028,150.4
18-39,157,136,121,"Plocher, Jacob",Team–,577,1H 14M 29S,2H 30M 25S,2H 30M 27S,M,4469,9025,9027,150.41666666666666
18-39,158,137,122,"Hardy, Sam",Team–,688,1H 16M 23S,2H 30M 26S,2H 30M 36S,M,4583,9026,9036,150.43333333333334
18-39,159,138,123,"Greenlaw, Jerry",TeamPacers//Georgetown Running Club-New Balance,269,1H 13M 6S,2H 30M 27S,2H 30M 27S,M,4386,9027,9027,150.45
18-39,160,139,124,"Navarre, William",Team–,497,1H 15M 8S,2H 30M 27S,2H 30M 41S,M,4508,9027,9041,150.45
18-39,161,140,125,"Viney, Keenan",Team–,1208,1H 15M 7S,2H 30M 29S,2H 30M 53S,M,4507,9029,9053,150.48333333333332
18-39,162,141,126,"Joyce, Daniel",Team–,1267,1H 14M 14S,2H 30M 33S,2H 30M 52S,M,4454,9033,9052,150.55
18-39,165,144,127,"Gill, Ty",Team–,313,1H 13M 45S,2H 30M 40S,2H 30M 47S,M,4425,9040,9047,150.66666666666666
18-39,166,145,128,"Kirkpatrick, Nicholas",Team–,409,1H 14M 54S,2H 30M 42S,2H 30M 42S,M,4494,9042,9042,150.7
18-39,167,146,129,"Alcorn, Derek",Team–,985,1H 14M 0S,2H 30M 42S,2H 30M 54S,M,4440,9042,9054,150.7
18-39,168,147,130,"Gutermann, Jan",Team–,664,1H 13M 50S,2H 30M 43S,2H 30M 46S,M,4430,9043,9046,150.71666666666667
18-39,169,148,131,"Stone, Josh",TeamCharlotte Running Club,309,1H 14M 49S,2H 30M 45S,2H 30M 49S,M,4489,9045,9049,150.75
18-39,171,149,132,"Oakes, Lachlan",Team–,499,1H 14M 39S,2H 30M 55S,2H 30M 58S,M,4479,9055,9058,150.91666666666666
18-39,172,150,133,"Pendleton, Joseph",Team–,723,1H 16M 7S,2H 30M 57S,2H 31M 1S,M,4567,9057,9061,150.95
18-39,173,151,134,"Schwippel, Tim",Team–,243,1H 13M 1S,2H 30M 59S,2H 31M 0S,M,4381,9059,9060,150.98333333333332
18-39,174,152,135,"Weeks, Parker",Team–,817,1H 13M 49S,2H 30M 59S,2H 31M 2S,M,4429,9059,9062,150.98333333333332
18-39,175,153,136,"Burman, Richard",Team–,487,1H 13M 25S,2H 31M 3S,2H 31M 5S,M,4405,9063,9065,151.05
18-39,176,154,137,"Petrocelli, Matthew",Team–,431,1H 15M 27S,2H 31M 5S,2H 31M 17S,M,4527,9065,9077,151.08333333333334
18-39,177,155,138,"Rutz, Jacob",TeamBull City Track Club,370,1H 16M 5S,2H 31M 5S,2H 31M 8S,M,4565,9065,9068,151.08333333333334
18-39,179,156,139,"Watanabe, Makoto",Team–,2432,1H 15M 13S,2H 31M 11S,2H 32M 6S,M,4513,9071,9126,151.18333333333334
18-39,181,158,140,"Moore, Bill",Team–,315,1H 14M 39S,2H 31M 17S,2H 31M 32S,M,4479,9077,9092,151.28333333333333
18-39,183,160,141,"Jones, Sumner",Team–,401,1H 14M 40S,2H 31M 18S,2H 31M 18S,M,4480,9078,9078,151.3
18-39,185,161,142,"Mouchart, Thibault",Team–,1429,1H 14M 56S,2H 31M 23S,2H 31M 34S,M,4496,9083,9094,151.38333333333333
18-39,186,162,143,"Ferretti, Nicolas",Team–,478,1H 16M 16S,2H 31M 24S,2H 31M 35S,M,4576,9084,9095,151.4
18-39,187,163,144,"Syed, Aaqib",Team–,1223,1H 14M 40S,2H 31M 29S,2H 31M 30S,M,4480,9089,9090,151.48333333333332
18-39,189,164,145,"Horn, Michael",Team–,466,1H 16M 33S,2H 31M 34S,2H 31M 41S,M,4593,9094,9101,151.56666666666666
18-39,191,166,146,"Pace, Joseph",Team–,422,1H 15M 6S,2H 31M 35S,2H 31M 48S,M,4506,9095,9108,151.58333333333334
18-39,193,168,147,"Solorza, Ruben",Team–,563,1H 14M 11S,2H 31M 36S,2H 31M 36S,M,4451,9096,9096,151.6
18-39,194,169,148,"Villagomez, Carlos",Team–,949,1H 14M 19S,2H 31M 37S,2H 31M 48S,M,4459,9097,9108,151.61666666666667
18-39,195,170,149,"Scarlett, Michael",Team–,411,1H 15M 1S,2H 31M 40S,2H 31M 46S,M,4501,9100,9106,151.66666666666666
18-39,196,171,150,"Ro, Jin-Sae",Team–,626,1H 14M 57S,2H 31M 41S,2H 31M 52S,M,4497,9101,9112,151.68333333333334
18-39,197,172,151,"Salvador, Xavier",Team–,561,1H 15M 0S,2H 31M 42S,2H 31M 49S,M,4500,9102,9109,151.7
18-39,198,173,152,"Alatalo, Erik",Team–,381,1H 11M 17S,2H 31M 45S,2H 31M 47S,M,4277,9105,9107,151.75
18-39,199,174,153,"Bruce, Patrick",Team–,1332,1H 12M 38S,2H 31M 45S,2H 32M 2S,M,4358,9105,9122,151.75
18-39,200,175,154,"Cai, David",Team–,430,1H 15M 6S,2H 31M 45S,2H 31M 48S,M,4506,9105,9108,151.75
18-39,201,176,155,"Fox, Benjamin",Team–,592,1H 15M 36S,2H 31M 50S,2H 32M 4S,M,4536,9110,9124,151.83333333333334
18-39,202,177,156,"Fathman, Andrew",Team–,546,1H 15M 38S,2H 31M 51S,2H 31M 59S,M,4538,9111,9119,151.85
18-39,203,178,157,"Amaro, Alex",Team–,648,1H 14M 34S,2H 31M 54S,2H 31M 58S,M,4474,9114,9118,151.9
18-39,204,179,158,"Taute, Brock",Team–,660,1H 14M 4S,2H 31M 56S,2H 32M 11S,M,4444,9116,9131,151.93333333333334
18-39,205,180,159,"Mano, Ryuji",TeamTracksmith Boston Hares,739,1H 15M 31S,2H 31M 56S,2H 32M 3S,M,4531,9116,9123,151.93333333333334
18-39,206,181,160,"Manning, Jeff",Team–,276,1H 12M 43S,2H 31M 58S,2H 31M 59S,M,4363,9118,9119,151.96666666666667
18-39,207,182,161,"Pape, Kyle",Team–,1704,1H 17M 24S,2H 31M 58S,2H 32M 19S,M,4644,9118,9139,151.96666666666667
18-39,208,183,162,"Jeandrée, Julien",Team–,532,1H 16M 30S,2H 31M 59S,2H 32M 1S,M,4590,9119,9121,151.98333333333332
18-39,209,184,163,"Bushey, Scott",TeamManchester Running Company,408,1H 13M 7S,2H 32M 0S,2H 32M 7S,M,4387,9120,9127,152
18-39,210,185,164,"Evans, Joshua",TeamCahaba Distance Project,371,1H 13M 51S,2H 32M 1S,2H 32M 10S,M,4431,9121,9130,152.01666666666668
18-39,211,186,165,"Mendoza, Eric",TeamGreater  Boston Track Club,418,1H 15M 50S,2H 32M 1S,2H 32M 11S,M,4550,9121,9131,152.01666666666668
18-39,212,187,166,"Reisenauer, Matthew",Team–,383,1H 14M 1S,2H 32M 3S,2H 32M 9S,M,4441,9123,9129,152.05
18-39,213,188,167,"Harvey, Bernardo",Team–,715,1H 14M 20S,2H 32M 6S,2H 32M 17S,M,4460,9126,9137,152.1
18-39,214,189,168,"Difabio, Joseph",Team–,611,1H 14M 20S,2H 32M 7S,2H 32M 13S,M,4460,9127,9133,152.11666666666667
18-39,215,190,169,"Sykes, Dylan",Team–,264,1H 13M 14S,2H 32M 9S,2H 32M 13S,M,4394,9129,9133,152.15
18-39,216,191,170,"Provence, Jeremy",Team–,374,1H 12M 54S,2H 32M 11S,2H 32M 12S,M,4374,9131,9132,152.18333333333334
18-39,217,192,171,"Kariolis, Vasili",TeamTracksmith Boston Hares,736,1H 14M 55S,2H 32M 11S,2H 32M 17S,M,4495,9131,9137,152.18333333333334
18-39,218,193,172,"Eves, Brock",Team–,463,1H 11M 2S,2H 32M 14S,2H 32M 20S,M,4262,9134,9140,152.23333333333332
18-39,219,194,173,"Gleason, Patrick",Team–,748,1H 13M 42S,2H 32M 14S,2H 32M 24S,M,4422,9134,9144,152.23333333333332
18-39,220,195,174,"Tuttle, Andrew",Team–,514,1H 14M 32S,2H 32M 16S,2H 32M 22S,M,4472,9136,9142,152.26666666666668
18-39,221,196,175,"Schroeder, Michael",Team–,1140,1H 14M 32S,2H 32M 23S,2H 32M 41S,M,4472,9143,9161,152.38333333333333
18-39,222,197,176,"Smith, Kent",Team–,329,1H 15M 3S,2H 32M 24S,2H 32M 28S,M,4503,9144,9148,152.4
18-39,223,198,177,"Macdonald, Benjamin",Team–,258,1H 10M 42S,2H 32M 27S,2H 32M 27S,M,4242,9147,9147,152.45
18-39,224,199,178,"Schwartz, David",Team–,322,1H 14M 36S,2H 32M 28S,2H 32M 28S,M,4476,9148,9148,152.46666666666667
18-39,225,200,179,"Horneck, Brian",Team–,566,1H 15M 8S,2H 32M 28S,2H 32M 34S,M,4508,9148,9154,152.46666666666667
18-39,226,201,180,"Kulm, Scott",Team–,674,1H 16M 3S,2H 32M 28S,2H 32M 34S,M,4563,9148,9154,152.46666666666667
18-39,227,202,181,"Gennaro, Paul",TeamCentral Mass Striders,384,1H 13M 48S,2H 32M 30S,2H 32M 35S,M,4428,9150,9155,152.5
18-39,228,203,182,"Hunter, Jon",Team–,1252,1H 15M 24S,2H 32M 32S,2H 32M 49S,M,4524,9152,9169,152.53333333333333
18-39,229,204,183,"Machus, Hunter",Team–,536,1H 12M 19S,2H 32M 33S,2H 32M 39S,M,4339,9153,9159,152.55
18-39,231,206,184,"Leuchanka, Aliaksandr",Team–,378,1H 15M 43S,2H 32M 41S,2H 32M 50S,M,4543,9161,9170,152.68333333333334
18-39,233,207,185,"Luciano, Christopher",Team–,344,1H 15M 0S,2H 32M 54S,2H 33M 0S,M,4500,9174,9180,152.9
18-39,234,208,186,"Naff, Keaton",Team–,939,1H 15M 0S,2H 32M 54S,2H 33M 1S,M,4500,9174,9181,152.9
18-39,235,209,187,"Scullion, Aiman",Team–,1245,1H 14M 46S,2H 32M 57S,2H 33M 18S,M,4486,9177,9198,152.95
18-39,236,210,188,"Walde, Alex",Team–,712,1H 15M 9S,2H 32M 57S,2H 33M 1S,M,4509,9177,9181,152.95
18-39,238,212,189,"Haywas, Adrian",Team–,275,1H 14M 12S,2H 32M 59S,2H 33M 7S,M,4452,9179,9187,152.98333333333332
