Name,Age,AgeClass,BodyweightKg,Squat,Bench,Deadlift,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Date
Artem Donov,14.5,13-15,58.9,70,50,120,240,2,205.7,208.21,203.53,39.75,2015-01-22
Lucas Hotwheels Duprey,14,13-15,96.59,160,77.5,172.5,410,1,256.28,253.16,241.99,52.66,2020-01-18
Maksim Bushin,12.5,13-15,43.85,55,32.5,75,162.5,4,185.53,193.29,191.76,31.54,2020-11-06
Rhailey-Zack Tolentino,15,13-15,67.2,87.5,55,150,292.5,2,226.17,226.33,219.74,45.16,2024-07-13
Vishal #2,15,13-15,52.5,107.5,55,110,272.5,18,258.65,264.74,260.58,43.61,2018-03-16
Vincent Mascitti,15,13-15,51.5,60,37.5,95,192.5,2,186.08,190.83,188.03,34.27,2025-04-10
Ivan Ivanov #35,14.5,13-15,92.7,135,90,140,365.5,13,232.91,229.96,220.12,39.7,2013-12-14
James Kingman,14.5,13-15,73.48,108.9,61.2,138.4,308.4,3,224.2,222.95,215.62,45.44,2020-02-08
Keith McClung,15,13-15,56,100,57.5,117.5,275,2,246.14,250.35,245.45,41.72,2005-12-11
Nicholas Rombold,15,13-15,67.5,85,50,127.5,262.5,1,202.32,202.39,196.46,40.44,2010-01-31
Konstantin Korepanov,14.5,13-15,55.15,85,60,110,255,2,231.36,235.66,231.27,43.75,2017-11-25
Danila Konoplev,15,13-15,92.5,160,130,197.5,487.5,1,310.98,307.03,293.92,63.94,2021-06-19
Vitaliy Druzhinin,13.5,13-15,52.8,55,67.5,110,232.5,2,219.51,224.55,220.94,40.84,2018-04-14
Minchan Park,14.5,13-15,71.8,135,95,155,385,1,284.22,283.06,274.01,57.42,2017-05-27
Sagan Harris,15,13-15,78.6,182.5,107.5,197.5,487.5,2,339.71,336.59,324.57,58.16,2007-03-30
Nikita Shinko,14.5,13-15,58.7,102.5,72.5,137.5,312.5,3,268.6,271.97,265.91,51.85,2019-10-25
Cooper Logsdon,15,13-15,71.5,127.5,95,160,382.5,2,283.18,282.09,273.13,57.17,2023-03-18
Mihail Ivanov,15,13-15,79.6,215,132.5,225,572.5,1,395.94,392.09,377.87,67.78,2025-04-11
Miles Wilson III,15,13-15,80.1,190,105,205,500,1,344.52,341.08,328.62,58.97,2010-06-20
Nikita Gupalov,14.5,13-15,88.95,55,60,90,205,3,133.35,131.66,126.25,22.77,2016-04-21
Kyle Meadows,14,13-15,82.42,140,75,165,380,3,257.55,254.71,245.09,52.79,2018-05-19
Nathan Schemansky,14.5,13-15,81.75,155,120,200,475,1,323.44,319.96,308,66.26,2025-03-23
Shane McCarty,15,13-15,66.7,130,60,135,325,1,252.67,253,245.72,50.38,2014-10-31
A Yildashev,14.5,13-15,50.5,90,55,115,260,3,256.13,263.18,259.62,43.01,2004-04-28
Seamus Finn Hagen,14,13-15,57.95,115,77.5,152.5,345,1,299.78,303.9,297.35,57.64,2025-02-22
Vladimir Burda,14.5,13-15,60.9,100,65,105,270,3,225.15,227.19,221.67,38.37,2005-10-23
Javier R. Sanchez,15,13-15,67.3,170,107.5,172.5,450,1,347.58,347.78,337.64,59.45,2012-04-28
Pyotr Gogolev,13.5,13-15,58.5,82.5,47.5,95,225,2,193.95,196.44,192.1,37.4,2015-05-23
Aidan Thibodeaux,12.5,13-15,62.4,62.5,37.5,70,170,1,139.03,139.99,136.41,27.3,2024-04-13
T. Nazarbekov,14.5,13-15,47,90,60,95,245,6,259.52,268.56,265.87,43.21,2012-07-05
Khimkat Zeynalov,13.5,13-15,51.6,85,52.5,102.5,240,3,231.56,237.43,233.92,38.97,2009-04-10
Jayden Smith #6,15,13-15,90.7,165,97.5,192.5,455,2,293.06,289.34,277.21,60.26,2022-04-23
David Morozov,12.5,13-15,45.2,70,40,55,165,12,182.2,189.27,187.63,31.51,2014-09-28
Zachary Weymouth,15,13-15,62.2,107.5,57.5,114.99,280,1,229.58,231.22,225.35,39.16,2008-06-23
Tomas Esquivel,14.5,13-15,65.3,155,102.5,155,412.5,2,325.78,326.76,317.68,64.67,2022-12-10
Alexis Kalpkadjian,15,13-15,63.3,80,55,110,245,2,198.14,199.26,194.02,39.05,2018-11-25
Roshan Gupta,15,13-15,82,205,105,227.5,537.5,6,365.36,361.39,347.83,74.86,2025-05-20
Dmitriy Onofrienko,13.5,13-15,44.1,72.5,37.5,95,205,3,232.58,242.17,240.23,38.36,2010-04-11
Maksim Selishchev,14.5,13-15,66,80,45,105,230,9,180.21,180.6,175.49,30.81,2009-11-04
Alex Waters,13,13-15,49.9,75,42.5,102.5,220,1,219.28,225.59,222.68,39.84,2022-11-11
Henry Manchester,12.5,13-15,85.9,50,43.5,97.5,191,1,126.53,125,120.05,25.99,2023-12-09
Chris Campagna,14.5,13-15,52,97.52,54.43,113.4,265.35,1,254.15,260.38,256.43,42.81,2003-02-15
Michael Oxier,14,13-15,68.95,148,92.5,190,430.5,1,326.81,326.4,316.53,65.58,2005-07-30
Mikael Helin,13.5,13-15,52.7,105,42.5,130,277.5,1,262.46,268.54,264.25,48.79,2014-11-08
Avram Lear,13.5,13-15,64.5,140,90,162.5,392.5,2,312.89,314.15,305.6,61.93,2017-09-17
Oliver Smith #4,15,13-15,52.1,100,50,125,275,1,262.91,269.31,265.19,48.65,2023-03-04
Maksim Zhirenkov,12.5,13-15,33,65,27.5,77.5,170,10,216.09,227.02,225.14,NA,2015-10-22
Kirill Zimin,14.5,13-15,86.3,127.5,105,145,377.5,2,249.46,246.42,236.61,51.24,2016-04-24
Jacob Klatkiewicz,14.5,13-15,66.6,140,85,177.5,402.5,15,313.27,313.71,304.71,53.57,2015-03-27
Matvey Baluk,13.5,13-15,48.98,77.5,50,102.5,230,2,233.54,240.7,237.82,42.07,2021-04-02
Bryan Prescott,14.5,13-15,52,102.5,57.5,122.5,282.5,2,270.57,277.21,273,45.58,2002-06-14
Harrison Maurus,13.5,13-15,66.7,200,97.5,182.5,480,1,373.18,373.66,362.91,74.41,2014-02-22
Alyosha Panachyov,14.5,13-15,52,100,65,120,285,6,272.97,279.66,275.42,45.98,2000-02-19
Gavin Patin,15,13-15,62.6,160,87.5,200,447.5,7,365.06,367.48,358.02,62.29,2024-04-19
Jack Trusler,12.5,13-15,80.65,130,75,135,340,1,233.34,230.94,222.44,47.76,2024-07-27
Tyler Josephs,14.5,13-15,54.8,82.5,42.5,110,235,2,214.43,218.56,214.56,40.46,2021-04-24
Killian Coluccio,14.5,13-15,51.3,87.5,65,120,272.5,1,264.39,271.24,267.33,48.61,2023-04-22
Brandon Shelton,13,13-15,60,70.31,45.36,102.06,217.72,1,183.76,185.69,181.33,31.29,1998-07-31
Yonas Schubot,14.5,13-15,91.95,157.5,122.5,197.5,477.5,1,305.49,301.6,288.79,62.81,2025-03-23
Sergey Popov #5,14.5,13-15,54.8,70,62.5,80,212.5,5,193.9,197.63,194.02,32.81,2016-12-16
Sergey Zhelezovskiy,14.5,13-15,53.75,90,57.5,110,257.5,6,239.13,244.2,240.01,44.8,2016-04-16
Justice Arthurton,15,13-15,64.9,80,60,135,275,1,218.2,218.96,212.94,43.25,2025-01-19
Aidan Davidson,14.5,13-15,81.3,150,117.5,150,417.5,1,285.19,282.18,271.69,58.4,2022-03-26
Denys Kaluzhskiy,13.5,13-15,43.1,90,40,105,235,4,273.57,285.48,283.29,44.96,1996-11-03
Ryan Casteleyn,13.5,13-15,64.3,115,70,157.5,342.5,1,273.67,274.85,267.41,54.13,2021-05-23
C. Banks,14,13-15,129.16,117.93,72.57,129.27,319.78,1,179.41,181.08,173.04,36.02,1997-04-12
Jacob Debevic,14.5,13-15,63.28,95,72.5,140,307.5,1,248.75,250.16,243.59,49.02,2014-11-02
Luccas Conceicao,15,13-15,78.75,175,102.5,195,472.5,1,328.88,325.84,314.17,67.18,2022-05-14
Anatoliy Gerasimov,13.5,13-15,65.85,90,60,120,270,6,211.91,212.4,206.41,42.14,2016-04-18
Artyom Saryan,12.5,13-15,80.5,90,45,90,225,9,154.58,153.01,147.39,31.63,2017-11-22
Mikola Korobov,14,13-15,62.16,92.5,55,112.5,260,14,213.29,214.83,209.38,41.84,2021-05-21
Vadim Budonniy,13.5,13-15,45.82,72.5,50,92.5,215,2,233.95,242.71,240.51,40.76,2015-11-21
Ricardo Julio Rodriguez Gutierrez,13.5,13-15,74.7,110,67.5,125,302.5,1,217.58,216.15,208.89,44.19,2024-04-04
William Bohanon,15,13-15,100.3,95,115,165,375,1,230.52,227.95,217.71,47.31,2021-12-12
Reed Cousineau,12.5,13-15,60.6,90,57.5,120,267.5,1,223.95,226.09,220.66,43.64,2022-12-03
Maksim Chikunov,13.5,13-15,51.8,107.5,80,100,287.5,3,276.37,283.26,279.02,46.53,1999-03-18
Ruslan Rakhmatulin,14.5,13-15,85,50,45,75,170,3,113.26,111.92,107.54,23.25,2018-03-31
Vitaliy Moskvitin,13.5,13-15,77.4,70,40,80,190,7,133.65,132.52,127.87,22.88,2010-12-18
Gulam Hussain Jilani,12.5,13-15,65.2,112.5,57.5,115,285,19,225.35,226.05,219.78,44.71,2022-04-09
Machenzie Molesworth,15,13-15,57.6,80,45,87.5,212.5,2,185.6,188.26,184.27,35.62,2013-08-29
Kirill Korolkov,14.5,13-15,73.85,90,55,110,255,6,184.77,183.69,177.61,37.48,2020-11-06
Aleksey Sheverdin,14.5,13-15,58.2,120,50,125,295,5,255.4,258.8,253.16,43.41,2002-04-19
Stefan Krause,15,13-15,94.2,152.5,77.5,187.5,417.5,1,264.02,260.7,249.4,44.98,2009-10-17
Joseph Haden Chavez,14.5,13-15,90.8,142.5,85,145,372.5,1,239.79,236.74,226.81,40.91,2022-06-25
Donovan Rea,14.5,13-15,73.3,102.5,62.5,115,280,1,203.88,202.78,196.13,41.31,2015-11-07
Colby Chandler Helms,14,13-15,52.8,60,37.5,120,217.5,1,205.35,210.07,206.69,34.64,2019-08-15
Makar Chuba,13.5,13-15,46.25,80,50,85,215,1,231.63,240.08,237.83,38.48,2014-04-24
Andrei Oancea,14.5,13-15,88.7,112.5,52.5,130,295,14,192.16,189.75,181.97,39.5,2019-09-14
Oleg Koshelev,14.5,13-15,71.3,160,80,175,415,9,307.82,306.7,296.99,52.7,2012-10-19
David Skramstad,14.5,13-15,55.2,90,70,135,295,19,267.43,272.38,267.29,50.59,2024-03-02
Koren Arditti,15,13-15,78.3,160,95,180,435,7,303.83,301.09,290.39,62.03,2024-12-29
John Castamby,15,13-15,69.85,127.5,82.5,162.5,372.5,2,280.22,279.61,270.99,56.36,2005-07-30
Dmitriy Golub,14.5,13-15,73.9,100,75,127.5,302.5,1,219.1,217.8,210.58,44.44,2012-03-14
Ben Templeton,15,13-15,73.3,90,55,130,275,1,200.24,199.16,192.62,40.57,2025-04-27
Abdulrazzaq Mirjan,15,13-15,69.8,120,62.5,142.5,325,3,244.61,244.09,236.58,49.19,2023-11-18
David Brown #29,14.5,13-15,72,187.5,117.5,185,490,1,361.06,359.52,347.99,72.97,2025-01-25
Evan Stutzman,15,13-15,83.6,140,95,155,390,1,262.23,259.22,249.27,53.79,2021-10-02
Sreeansh Kokkonda,14,13-15,54.8,65,52.5,132.5,250,1,228.12,232.51,228.26,43.04,2025-03-08
Norm Green,15,13-15,67.5,120.2,95.25,154.22,369.68,1,284.93,285.03,276.67,56.95,2001-05-26
John David Johnson,13.5,13-15,88.6,142.5,90,145,377.5,1,246.05,242.95,233.01,50.58,2017-07-15
Jacob Hardy,15,13-15,105.8,207.5,122.5,222.5,552.5,1,332.2,329.28,314.45,56.28,2010-03-26
Stephen Milke,15,13-15,73.85,80,47.5,125,252.5,2,182.96,181.89,175.86,37.11,2019-07-27
V. Fink,14.5,13-15,51.6,130,70,130,330,3,318.4,326.46,321.65,53.59,2012-03-26
Lev Tolstushenko,13,13-15,48.55,65,42.5,100,207.5,3,212.58,219.28,216.76,38.13,2019-06-06
Matvey Chizh,14.5,13-15,83.45,125.5,70,130,325,5,218.74,216.25,207.96,37.41,2019-03-29
Ivan Maltsev,14.5,13-15,54.4,65,42.5,90,197.5,4,181.41,185.03,181.73,30.68,2009-11-04
Raymond Godard,15,13-15,77.5,145,110,195,450,7,316.28,313.59,302.57,54.16,2008-04-04
Vitor Manoel Salvino Souto,14.5,13-15,81.6,120,65,162.5,347.5,2,236.87,234.34,225.59,48.52,2023-03-01
Oley Flying Horse,14.5,13-15,82.5,107.5,72.57,159.66,339.74,2,230.14,227.59,218.99,39.37,2004-11-06
Bobby Edwards,14.5,13-15,67.5,102.06,70.31,142.88,315.25,6,242.98,243.06,235.94,48.56,2004-03-20
Coleman McNeil,15,13-15,75,136.08,90.72,172.37,399.16,1,286.37,284.43,274.82,49.04,2002-12-28
Anton Lugovoy,14.5,13-15,59.3,95,62.5,122.5,280,13,238.63,241.39,235.88,40.61,2003-05-02
Shanbu Parker,13.5,13-15,64.3,130,72.5,170,372.5,1,297.65,298.92,290.84,58.88,2020-12-05
Ivan Shilov,14.5,13-15,57.75,100,50,120,270,3,235.3,238.62,233.52,39.97,2013-10-25
D. Tsenkin,14.5,13-15,53,92.5,80,115,287.5,3,270.48,276.59,272.08,50.39,2017-10-02
Emanuel Fierro,13.5,13-15,63.15,92.5,82.5,120,295,2,239.02,240.42,234.12,47.08,2024-11-17
Dmitriy Luzhkov,14.5,13-15,64.7,135,92.5,155,382.5,9,304.2,305.35,296.99,60.26,2015-12-22
Yuvraj Singh Chouhan,15,13-15,53,125,67.5,140,332.5,10,312.82,319.89,314.67,52.79,2018-03-16
Calvin Greenfield,13,13-15,59.65,83.91,36.29,90.72,210.92,1,178.88,180.85,176.66,34.7,2022-03-26
Sardar Khudaynazarov,14.5,13-15,52.2,112.5,60,100,272.5,7,260.05,266.33,262.22,43.82,2018-04-01
Aleksey Ariskin,14.5,13-15,91.1,130,82.5,150,362.5,8,232.98,230.01,220.33,47.9,2020-02-28
Mason Riley,13.5,13-15,45.8,60,33.5,82.5,176,1,191.6,198.78,196.98,33.37,2023-11-12
Nikita Khatulev,12.5,13-15,37.7,35,30,65,130,10,165.24,173.6,172.17,27.35,2014-02-22
Bastian Haspel,15,13-15,80.7,130,80,140,350,1,240.11,237.64,228.89,49.14,2018-10-13
Tanner Roach,13,13-15,81.9,115,47.5,127.5,290,3,197.26,195.13,187.82,40.42,2025-03-01
Aleksandr Stepovoy,14.5,13-15,63.4,105,80,145,330,1,266.56,268.02,260.96,45.51,2009-11-04
Jacob Iwaniuk,12.5,13-15,55.6,32.5,37.5,67.5,137.5,1,123.85,126.06,123.64,23.49,2021-11-06
Colin Becker,13.5,13-15,53,92.5,65,117.5,275,1,258.72,264.57,260.25,48.2,2018-07-28
Jordon Hoffman,14.5,13-15,80.2,195,115,210,520,1,358.04,354.45,341.48,73.25,2021-03-20
Ivan Potirukho,14.5,13-15,56.45,65,60,110,235,8,208.87,212.27,208.02,39.82,2016-04-16
Keegan Wentworth,15,13-15,56.86,102.5,60,127.5,290,4,256.13,260.12,254.81,48.95,2022-10-08
Roman Butirin,13.5,13-15,50.34,95,60,120,275,2,271.75,279.32,275.58,49.56,2015-11-21
Parker Theobald,14.5,13-15,89.3,152.5,102.5,177.5,432.5,1,280.76,277.21,265.77,57.72,2017-12-09
Aidan Janulewicz,15,13-15,77.3,97.5,45,117.5,260,1,183.03,181.5,175.14,37.32,2022-04-23
Bogdan Zhigalyuk,12.5,13-15,49.9,95,50,110,255,3,254.17,261.47,258.1,42.63,1993-10-27
Miguel Cervero Galán,14.5,13-15,87.34,170,95,200,465,5,305.34,301.56,289.4,62.74,2023-01-14
Anton Mitroshenkov,13.5,13-15,57.35,67.5,42.5,80,190,9,166.57,169.03,165.49,31.92,2018-12-22
Vicente Lira,15,13-15,110.7,207.5,152.5,212.5,572.5,5,338.27,336.26,321.45,68.99,2025-05-28
Mark A. Gajowski III,15,13-15,79.8,165,105,197.5,467.5,1,322.84,319.67,308.04,66.02,2022-02-12
Zachary Travers,13.5,13-15,83.95,45,40,82.5,167.5,3,112.36,111.06,106.78,23.05,2025-03-09
Timothy Gettings,14,13-15,60,113.4,68.04,127.01,308.44,2,260.34,263.06,256.88,50.58,1999-08-06
Bryton Webb,12.5,13-15,42.2,62.5,32.5,87.5,182.5,1,217.66,227.58,225.86,36.16,2023-02-18
Gustav Enoch O Angeles,14,13-15,47.2,80,40,105,225,3,237.28,245.45,242.94,41.98,2023-02-04
Sam Massopust,15,13-15,103.04,130,72.5,142.5,345,9,209.68,207.56,198.19,42.97,2025-04-10
Marcel Kubica,14.5,13-15,103.4,152.5,95,167.5,415,1,251.86,249.35,238.09,51.61,2025-03-07
Evan Winfree,14.5,13-15,108.3,155,97.5,167.5,420,1,250.23,248.38,237.29,51.12,2024-12-07
Michael Connolly,13.5,13-15,74.95,60,37.5,100,197.5,2,141.75,140.8,136.05,28.8,2023-10-21
Thomas Simon,15,13-15,72.1,115,67.5,137.5,320,1,235.58,234.55,227.01,47.62,2023-11-26
Filip Lederleitner,14.5,13-15,58.8,100,55,115,270,3,231.74,234.61,229.36,39.41,2019-09-28
Pavel Kandakov,13.5,13-15,92.7,125,77.5,150,352.5,1,224.63,221.78,212.29,46.19,2013-11-22
Andrey Lysov,14.5,13-15,42.8,100,45,105,250,2,293.36,306.33,303.99,48.15,2016-03-25
Matěj Nádeníček,14.5,13-15,114,150,90,210,450,1,263.05,262.09,250.8,53.51,2025-03-01
Bogdan Khomovich,14.5,13-15,56.76,110,50,115,275,5,243.25,247.09,242.06,41.28,2017-12-15
Anton Karachinskiy,13.5,13-15,51.7,40,37.5,57.5,135,8,130.01,133.28,131.3,21.89,2016-12-03
Liam Wynhoff,14.5,13-15,78.3,97.5,65,120,282.5,3,197.31,195.54,188.59,40.28,2023-02-25
Igor Belyaev #2,14.5,13-15,55.55,157.5,90,147.5,395,8,356.08,362.45,355.53,60.32,2008-04-11
Christian O'Boyle,15,13-15,73.6,80,55,125,260,1,188.82,187.74,181.55,38.28,2023-04-09
Jyquan Owens,15,13-15,80.7,215,125,220,560,13,384.18,380.23,366.22,65.75,2012-03-23
Sergiy Zlotnyk,12.5,13-15,52,100,65,110,275,12,263.39,269.85,265.75,44.37,2005-04-14
Nikita Samochyornov,13.5,13-15,86.5,70,67.5,100,237.5,2,156.75,154.83,148.66,26.79,2012-03-01
Clay Maxam,15,13-15,79.8,120,80,172.5,372.5,3,257.24,254.71,245.45,52.6,2017-03-25
Dmitriy Schaslivyy,14.5,13-15,49.6,75,40,82.5,197.5,14,198.04,203.85,201.29,33.19,2004-04-02
AJ Norris,14,13-15,106.6,105,65,147,317,1,190.03,188.44,179.98,38.86,2021-08-07
Florin Mocioi,14.5,13-15,69.45,95,55,150,300,3,226.59,226.18,219.27,38.78,2018-03-31
Gary Claus,14.5,13-15,87.2,112.5,72.5,140,325,1,213.59,210.95,202.46,43.89,2017-05-20
Kirill Kuzovkin,12.5,13-15,43,50,32.5,65,147.5,1,172.16,179.7,178.32,28.28,2012-11-26
Hipa Tuhipa,14.5,13-15,104,120,70,130,320,1,193.74,191.87,183.21,39.69,2023-04-14
Ivan Rozhkov,15,13-15,71.1,125,77.5,130,332.5,1,247.1,246.25,238.48,49.84,2016-06-17
Roman Korotkov,14.5,13-15,69.2,95,60,105,260,10,196.87,196.57,190.6,33.69,2014-04-25
Grigor Manukyan,15,13-15,73.6,160,102.5,190,452.5,1,328.61,326.75,315.97,66.62,2014-10-25
Vansh Chopra,14,13-15,81.3,80,117.5,160,357.5,1,244.21,241.63,232.65,50.01,2024-09-21
Savva Vorotillin,14.5,13-15,54.9,120,75,110,305,3,277.85,283.15,277.94,47.03,2009-05-07
Jethro Atlas P Singson,12.5,13-15,79.4,82.5,40,102.5,225,1,155.84,154.34,148.76,31.86,2024-02-20
Egor Zubov,12.5,13-15,51.2,100,72.5,100,272.5,4,264.89,271.81,267.92,48.66,2021-04-16
Semen Adameyko,13.5,13-15,71.3,120,77.5,130,327.5,11,242.92,242.04,234.37,49.02,2013-12-28
Jacob Prpich,15,13-15,58.8,132.5,92.5,162.5,387.5,1,332.59,336.7,329.17,64.24,2025-02-22
Ilya Kantser,13.5,13-15,50.8,32.5,27.5,50,110,4,107.74,110.64,109.11,18.1,2015-11-04
Nazar Mitil,14.5,13-15,66.85,170,100,130,400,7,310.47,310.82,301.84,53.09,2012-11-24
Randy Lovell,14,13-15,51.4,102.5,55,125,282.5,1,273.59,280.62,276.54,50.34,2023-07-22
Danil Kartashov,12.5,13-15,58.3,45,32.5,60,137.5,7,118.87,120.43,117.8,22.9,2019-11-17
Braden Boster,14,13-15,73,125,92.5,135,352.5,1,257.37,256.04,247.68,52.12,2024-03-09
