"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"372","TJ Dillashaw",66,125,67,"Orthodox",1986,5.37,41,3.03,65,1.68,37,86,1
"373","Matt Dixon",70,170,75,"Switch",1995,1.97,43,4.56,37,3.06,30,0,0
"374","Russell Doane",67,135,70,"Orthodox",1986,1.75,40,1.68,53,2.11,45,52,0.8
"375","Drew Dober",68,155,70,"Southpaw",1988,4.33,40,3.87,54,0.8,17,55,0.1
"376","Shana Dobson",66,125,69,"Orthodox",1989,3.34,37,5.2,50,0.84,50,14,0
"377","Joe Doerksen",72,185,75,"Orthodox",1977,1.43,42,2.79,50,2.02,33,33,2.3
"378","John Dodson",63,135,66,"Orthodox",1984,3.2,40,3.58,61,0.71,28,82,0
"379","CB Dollaway",74,185,76,"Orthodox",1983,2.65,47,2.58,54,3.55,54,62,1.2
"380","Cody Donovan",75,205,74,"Orthodox",1981,5.61,59,5.44,45,1.67,28,0,1.7
"381","Roman Dolidze",74,205,76,"Orthodox",1988,2.98,51,1.75,61,1.75,50,33,2.2
"382","Anderson Dos Santos",65,135,70,"Orthodox",1985,2.66,28,4.8,55,1.3,18,66,0.9
"383","Tiago dos Santos e Silva",69,145,70,"Orthodox",1987,3.69,35,4.23,59,0.63,11,33,0.3
"384","Junior Dos Santos",76,238,77,"Orthodox",1984,4.49,47,3.33,56,0.3,50,81,0.1
"385","Rafael Dos Anjos",68,155,70,"Southpaw",1984,3.49,46,3.22,61,1.93,37,58,0.6
"386","Kyle Driscoll",71,145,74,"Orthodox",1994,2.73,32,2.6,58,2,18,0,0
"387","Danny Downes",72,155,72,"Orthodox",1986,1.66,34,3.53,37,0,0,37,0.5
"388","Tomasz Drwal",73,205,76,"Orthodox",1982,3.29,38,2.26,57,3.55,60,82,0.4
"389","Dricus Du Plessis",73,185,76,"Switch",1994,7.72,44,4.16,67,0,0,0,0
"390","Norma Dumont",67,135,67,"Orthodox",1990,5.35,55,2.65,72,2.43,42,100,0
"391","Jessamyn Duke",71,135,73,"Orthodox",1986,4.83,53,4.43,57,1.27,36,50,1.9
"392","Joe Duffy",70,155,73,"Orthodox",1988,2.68,34,3.78,54,0.96,66,64,0.7
"393","Todd Duffee",75,260,78,"Orthodox",1985,5.93,37,2.87,56,0.72,25,90,0
"394","Cody Durden",67,125,67,"Southpaw",1991,3.11,48,3.93,41,3.28,26,50,0.8
"395","Reuben Duran",67,135,71,"Orthodox",1983,3.19,49,2.61,50,0.98,23,25,0.7
"396","Tom Duquesnoy",67,135,68,"Orthodox",1993,3.83,45,5.3,62,0.42,25,46,0
"397","Evan Dunham",70,155,70,"Southpaw",1981,5.33,39,3.54,61,1.82,33,79,1
"398","David Dvorak",65,125,68,"Orthodox",1992,4.5,48,3.17,63,0,0,75,0
"399","Matt Dwyer",76,170,76,"Orthodox",1989,2.57,34,3.24,54,0.44,10,60,0
"400","Merab Dvalishvili",66,135,68,"Orthodox",1991,3.91,39,2.08,61,7.71,43,80,0.3
"401","Rolando Dy",68,145,69,"Orthodox",1990,3.04,37,4.47,52,0.3,20,68,0
"402","Mike Easton",66,135,70,"Southpaw",1984,3.51,37,4.28,61,0.75,22,66,0
"403","Marvin Eastman",69,185,73,"Orthodox",1971,2.21,35,3.92,42,1.38,33,81,0
"404","Brian Ebersole",72,170,73,"Southpaw",1980,2.32,49,2.14,56,1.7,23,61,0.1
"405","Mark Eddiva",68,145,68,"Orthodox",1986,3.37,45,2.98,54,1.45,22,63,0
"406","Johnny Eduardo",67,135,71,"Orthodox",1978,2.89,38,3.34,63,0,0,62,0.5
"407","Frankie Edgar",66,135,68,"Orthodox",1981,3.7,39,2.71,66,2.28,31,65,0.3
"408","Stephanie Egger",66,135,68,"Orthodox",1988,0.67,31,1.33,52,1,16,40,0
"409","Joselyne Edwards",68,135,70,"Orthodox",1995,4.2,53,3.83,46,0.5,16,37,0.5
"410","Te Edwards",68,155,72,"Orthodox",1990,1.5,41,4.15,44,0.72,100,44,0
"411","Justin Edwards",70,155,70,"Orthodox",1983,2.68,42,3.32,51,2.14,26,27,1
"412","Leon Edwards",74,170,74,"Southpaw",1991,2.56,47,2.03,55,1.35,30,70,0.4
"413","Yves Edwards",69,155,73,"Southpaw",1976,2.91,42,2.34,66,0.76,53,69,0.7
"414","Per Eklund",70,155,72,"Orthodox",NA,2.07,61,2.38,67,2.07,11,50,3.6
"415","Jake Ellenberger",69,170,71,"Orthodox",1985,2.47,39,2.83,60,2.04,47,86,0.4
"416","Darren Elkins",70,145,71,"Orthodox",1984,3.5,38,3.08,52,2.7,33,58,1.2
"417","Joe Ellenberger",69,155,72,"Orthodox",1985,1.62,47,3.45,48,3.17,40,0,1.1
"418","Cameron Else",69,135,71,"Switch",1987,1.92,36,5.58,58,0,0,0,0
"419","Tim Elliott",67,125,66,"Southpaw",1986,3.35,45,2.49,59,4.01,49,58,1.1
"420","Rob Emerson",69,155,70,"Orthodox",1981,2.5,30,2.83,64,2.02,52,65,0.4
"421","Ramazan Emeev",70,170,76,"Southpaw",1987,2.5,45,1.98,66,2.33,29,66,0.5
"422","Josh Emmett",66,145,70,"Orthodox",1985,4.32,39,4.02,63,1.43,47,50,0.1
"423","Jamall Emmers",70,145,74,"Orthodox",1989,5.75,52,4.65,54,2.9,53,100,0
"424","Fedor Emelianenko",72,230,74,"Orthodox",1976,3.18,51,1,63,2,63,82,1.9
"425","Oliver Enkamp",72,170,77,"Switch",1991,2.38,36,3.55,37,0.87,16,0,0
"426","Andy Enz",75,185,78,"Orthodox",1991,3.51,23,5.32,57,0,0,58,0
"427","Julian Erosa",73,145,74,"Southpaw",1989,5.07,47,5.72,50,1.32,54,58,0.9
"428","Cole Escovedo",67,135,72,"Orthodox",1981,1.77,43,4.32,49,0.43,33,13,0
"429","Efrain Escudero",69,155,71,"Orthodox",1986,2.92,44,2.3,63,1.31,40,66,0.8
"430","Carla Esparza",61,115,63,"Orthodox",1987,2.29,42,2.85,53,3.44,35,48,0.3
"431","Juan Espino",75,250,80,"",1980,4.32,80,0.54,42,14.19,77,0,6.1
"432","Jodie Esquibel",61,115,64,"Orthodox",1986,4.1,31,7.37,52,0.75,21,83,0
"433","Jordan Espinosa",66,125,69,"Orthodox",1989,4.22,52,2.94,57,0.75,28,70,0.2
"434","Terry Etim",73,155,73,"Orthodox",1986,2.16,35,2.53,67,0.43,30,39,1.4
"435","Sijara Eubanks",64,135,67,"Orthodox",1985,4.52,43,3.69,57,1.88,46,65,0.4
"436","Billy Evangelista",68,155,68,"Orthodox",1980,4.51,40,3.96,61,1.6,19,61,0.2
"437","Rashad Evans",72,205,75,"Orthodox",1979,2.14,37,2.42,63,2.98,44,73,0
"438","Ashlee Evans-Smith",68,135,67,"Orthodox",1987,4.54,34,4.69,55,1.1,23,66,0
"439","Tonya Evinger",67,135,70,"Orthodox",1981,1.16,42,4.02,38,0.93,30,33,0.9
"440","Andre Ewell",68,135,75,"Southpaw",1988,4.42,41,4.25,52,0.29,66,70,0.1
"441","Movsar Evloev",67,145,72,"Orthodox",1994,4.7,44,2.83,64,2.75,37,70,0
"442","Edward Faaloloto",NA,155,70,"",1984,2.28,32,6.25,44,1.01,25,33,0
"443","Jessica Eye",66,125,66,"Orthodox",1986,3.76,37,4.01,55,0.45,40,57,0.5
"444","Wagnney Fabiano",66,145,69,"Southpaw",1975,1.19,38,0.66,70,3.44,64,100,0.4
"445","Melinda Fabian",66,125,66,"",1987,4.03,41,4,62,0,0,100,0
"446","Urijah Faber",66,135,67,"Orthodox",1979,2.65,40,2.59,64,1.54,30,58,0.8
"447","Bartosz Fabinski",72,170,75,"Orthodox",1986,2.2,69,1.35,53,7.08,69,80,0
"448","Zarah Fairn",68,145,72,"Orthodox",1986,1.98,45,6.61,39,0,0,50,0
"449","Rico Farrington",76,170,79,"Southpaw",1989,6.33,41,7.2,51,0,0,20,0
"450","Carlos Felipe",72,245,75,"Orthodox",1995,4.42,45,4.6,47,0,0,70,0
"451","Paul Felder",71,155,70,"Orthodox",1984,3.7,44,3.44,48,0.29,28,64,0.2
"452","Kevin Ferguson",74,235,77,"Orthodox",1974,2.3,50,3.41,38,3.1,72,36,1.2
"453","Tony Ferguson",71,155,76,"Orthodox",1984,5.46,45,3.94,59,0.45,42,70,1.1
"454","Cezar Ferreira",73,185,78,"Southpaw",1985,1.9,42,2.44,53,2.69,53,84,0.5
"455","Diego Ferreira",69,155,74,"Orthodox",1985,4.85,37,3.26,58,0.89,26,68,0.9
"456","Drew Fickett",70,155,70,"Orthodox",1979,2.33,41,2.29,57,1.3,35,30,2.2
"457","Deiveson Figueiredo",65,125,68,"Orthodox",1987,3.38,56,3.35,50,1.57,50,61,2.4
"458","Francisco Figueiredo",66,135,69,"Southpaw",1989,1.93,54,2.07,76,4,66,100,0
"459","Edwin Figueroa",67,135,69,"Orthodox",1984,2.57,39,3.06,51,0.2,100,37,0.6
"460","Andre Fili",71,145,74,"Orthodox",1990,3.73,36,3.9,52,2.5,49,64,0.2
"461","Mirko Filipovic",74,230,73,"Southpaw",1974,2.11,50,1.89,63,0.19,40,78,0.3
"462","Luigi Fioravanti",68,170,70,"Orthodox",1981,2.23,42,2.21,69,3.76,63,67,0.9
"463","Spencer Fisher",67,155,68,"Southpaw",1976,3.17,43,3.03,64,0.67,30,60,0.8
"464","Chris Fishgold",68,145,68,"Orthodox",1992,2.01,32,2.7,46,2.59,46,44,1.3
"465","Jimmy Flick",67,125,68,"Orthodox",1990,1.99,58,2.3,50,1.81,50,0,7.2
"466","Alejandro Flores",70,145,73,"Orthodox",1991,3.66,40,2.02,54,0,0,0,0
"467","Ty Flores",75,205,73,"Switch",1993,2,37,7.8,25,1,9,0,0
"468","Rafael Fiziev",68,155,71,"Switch",1993,4.67,57,4.17,55,0.84,50,100,0
"469","Luke Flores",72,155,73,"Southpaw",1988,1.56,44,1.88,60,0,0,40,1.2
"470","Jon Fitch",72,170,74,"Orthodox",1978,2.61,50,1.65,54,3.6,51,56,0.8
"471","Kenny Florian",70,145,74,"Southpaw",1976,2.41,40,1.85,63,2.22,33,60,1.3
"472","Caros Fodor",69,155,74,"Orthodox",1984,2.76,54,2.83,54,2.1,25,50,0
"473","Rob Font",68,135,71,"Orthodox",1987,5.21,42,3.83,62,1.2,36,48,0.8
"474","Jesse Forbes",74,185,75,"Southpaw",1984,2.11,24,4.06,53,1.79,75,66,1.2
"475","Marcel Fortuna",73,205,74,"Orthodox",1985,3.83,46,4.52,64,0.45,8,75,0.5
"476","Jussier Formiga",65,125,67,"Orthodox",1985,1.42,39,2.34,64,1.82,35,87,0.6
"477","Renee Forte",67,155,71,"Orthodox",1987,2.08,32,2.12,63,2.32,58,66,0
"478","Brian Foster",69,170,71,"Orthodox",1984,3.3,39,1.63,65,3.67,60,37,1.8
"479","John Franchi",66,145,67,"Orthodox",1982,1.83,48,2.59,48,2.68,80,40,0.3
"480","Hermes Franca",66,155,71,"Orthodox",1974,1.78,39,2.85,55,1.53,36,37,2.4
"481","Glaico Franca Moreira",72,155,77,"Orthodox",1991,2.35,42,3.46,47,2.68,42,76,0.3
"482","Rich Franklin",73,185,76,"Southpaw",1974,4.1,44,2.07,62,1.31,66,63,0.7
"483","Justin Frazier",72,265,75,"Southpaw",1989,1.11,66,6.11,4,0,0,0,0
"484","Stephanie Frausto",62,115,61,"Orthodox",1990,1.43,21,3.57,60,0,0,0,0
"485","Patricio Freire",65,145,65,"",1987,2.84,41,4.43,60,0.6,18,94,0.6
"486","Patricky Freire",67,155,71,"",1986,3.06,44,3.34,69,1.26,33,100,0
"487","Matt Frevola",69,155,71,"Orthodox",1990,2.73,37,3.44,58,2.59,37,40,1.1
"488","Jinh Yu Frey",63,115,65,"Southpaw",1985,1.79,40,3.35,44,1.06,42,83,0.7
"489","Sarah Frota",66,125,69,"Southpaw",1987,4.52,52,2.57,55,0,0,53,0
"490","Riki Fukuda",72,185,73,"Southpaw",1981,4.24,43,3.71,64,2.17,43,70,0
"491","Masio Fullen",70,145,70,"Orthodox",1986,2.46,32,3.5,54,0.47,33,69,0
"492","Ricardo Funch",70,170,74,"Southpaw",1980,2.61,65,3.57,40,1.24,18,60,0
"493","Justin Gaethje",71,155,70,"Orthodox",1988,7.46,59,7.99,55,0,0,69,0
"494","Claudia Gadelha",64,115,63,"Orthodox",1988,3.31,41,4.57,57,3.03,42,58,0.7
"495","Mitch Gagnon",65,135,65,"Southpaw",1984,2.76,46,2.21,61,1.16,25,65,1.9
"496","Mickey Gall",74,170,74,"Switch",1992,2.55,46,3.65,42,1.15,26,40,2.1
"497","Mateusz Gamrot",70,155,70,"Southpaw",1990,3.47,41,2.47,56,5,31,100,0
"498","Shamil Gamzatov",74,205,76,"Orthodox",1990,4.27,46,2.13,58,0,0,50,0
"499","Manvel Gamburyan",65,135,67,"Orthodox",1981,2.13,41,2.83,55,3.26,34,69,0.7
"500","Eduardo Garagorri",69,145,70,"Orthodox",1989,3.42,51,2.36,58,0.48,100,61,0
"501","Ciryl Gane",76,245,81,"Orthodox",1990,5.04,55,1.85,69,1.13,26,100,0.5
"502","Cody Garbrandt",68,135,65,"Orthodox",1991,3.35,37,3.33,65,0.84,33,100,0
"503","Leonard Garcia",70,145,68,"Orthodox",1979,2.77,24,4.79,52,0.3,26,42,0.5
"504","Edgar Garcia",70,170,71,"Orthodox",1984,3.16,29,4.23,60,2.21,57,50,0.6
"505","Alex Garcia",69,170,72,"Orthodox",1987,1.81,31,3.03,59,3.72,52,66,0.1
"506","Steve Garcia",72,155,75,"Southpaw",1992,4.31,55,2.52,36,0.61,25,100,0.6
"507","Elias Garcia",65,125,67,"Southpaw",1992,1.59,27,5.05,50,0.68,14,33,1.4
"508","Rafa Garcia",67,155,70,"Orthodox",1994,3.47,23,6.6,54,0,0,100,0
"509","Pablo Garza",73,145,73,"Orthodox",1983,3.37,44,2.7,50,0.94,25,15,1.3
"510","Willie Gates",68,125,72,"Orthodox",1987,1.8,38,4.28,38,0,0,67,0.4
"511","Kelvin Gastelum",69,185,71,"Southpaw",1991,3.64,43,2.92,59,1.22,39,64,0.1
"512","Louis Gaudinot",63,125,63,"Orthodox",1984,2.34,37,6.42,48,0.57,40,31,1.1
"513","Chad George",66,135,68,"Southpaw",1982,1.26,50,1.11,65,3.08,46,0,1.3
"514","Karine Gevorgyan",64,125,63,"",1989,1.2,20,1.8,76,0,0,0,0
"515","Christos Giagos",70,155,71,"Orthodox",1990,2.88,41,2.59,51,3.11,39,50,0.3
"516","Joe Giannetti",72,155,74,"Southpaw",1995,1.93,38,2.8,40,1,16,0,0
"517","Chase Gibson",70,155,72,"Orthodox",1990,3.13,54,6.4,52,0,0,0,0
"518","Cody Gibson",70,135,71,"Orthodox",1987,2.47,31,2.54,63,1.85,38,58,0.4
"519","Thomas Gifford",73,155,75,"Orthodox",1992,3.97,37,6.45,37,0.5,33,33,0
"520","Trevin Giles",72,185,74,"Orthodox",1992,3.26,56,1.88,62,1.37,80,79,0.3
"521","Gregor Gillespie",67,155,71,"Orthodox",1986,3.58,49,2.14,60,7.02,47,0,0.9
"522","Rick Glenn",72,145,70,"Southpaw",1989,4.31,42,4.29,53,0.67,13,66,0.3
"523","Mark Godbeer",76,240,77,"Orthodox",1983,3.97,53,3.3,54,0,0,28,0
"524","Hannah Goldy",64,125,61,"Orthodox",1992,6.53,46,3.9,55,0,0,66,0
"525","Marcelo Golm",75,249,75,"Orthodox",1992,4.27,58,4.3,45,0.45,50,87,0.5
"526","Frank Gomez",70,135,67,"Orthodox",1986,1.52,48,0.79,66,1.14,60,70,0.8
"527","Edson Gomez",68,170,69,"Switch",1991,2.66,32,8.78,45,0,0,0,0
"528","Joey Gomez",70,155,71,"Orthodox",1989,3.73,49,3.33,50,2,28,0,0
"529","Luis Gomez",67,145,68,"Orthodox",1995,1.57,33,4.03,55,4.48,50,33,0
"530","Akihiro Gono",67,170,68,"Switch",1974,2.18,48,2.67,63,1.01,84,46,0.5
"531","Takanori Gomi",67,155,70,"Southpaw",1978,3.81,41,3.52,60,1.23,65,63,0.8
"532","Gabriel Gonzaga",74,242,76,"Orthodox",1979,2.12,45,2.94,57,2.8,39,66,1.1
"533","Justin Gonzales",69,145,72,"Orthodox",1991,6.67,80,0.87,43,14,73,100,0
"534","Fernando Gonzalez",69,170,68,"Southpaw",1983,4.47,47,4.03,65,0.86,33,43,1.4
"535","Jason Gonzalez",74,155,74,"Southpaw",1990,3.06,39,3.13,58,0,0,30,1
"536","Mikey Gonzalez",71,155,74,"Orthodox",1985,0.91,16,14.55,11,0,0,0,0
"537","Jared Gooden",72,170,77,"Orthodox",1993,6.67,47,11.2,49,1,100,100,0
"538","Lyman Good",72,170,74,"Orthodox",1985,5.34,48,4.01,63,0.27,100,75,0
"539","Eddie Gordon",72,185,76,"Orthodox",1983,2.03,32,2.57,60,1.93,83,63,0
"540","Alex Gorgees",74,155,74,"Switch",1995,0.67,32,2.27,38,0,0,54,0
"541","Malcolm Gordon",67,125,71,"Switch",1990,0.55,13,3.87,54,0,0,0,0
"542","Jared Gordon",69,145,68,"Orthodox",1988,5.54,56,3.22,60,2.81,39,55,0
"543","Thibault Gouti",70,155,72,"Orthodox",1987,3.68,34,5.64,50,1.23,80,83,0.3
"544","Jonathan Goulet",72,170,73,"Orthodox",1979,1.61,41,2.01,46,4.17,70,45,0.6
"545","Wilson Gouveia",73,185,76,"Orthodox",1978,3.02,39,4.06,56,0.9,66,57,2.2
"546","Damian Grabowski",73,241,75,"Orthodox",1980,4,36,7.65,51,0,0,0,0
"547","Roger Gracie",76,185,79,"Orthodox",1981,1.78,35,1.79,61,1.87,53,60,1.9
"548","Kron Gracie",69,145,70,"Southpaw",1988,5.15,41,8.13,53,0.88,25,0,0.9
"549","Miranda Granger",67,125,68,"Orthodox",1992,2.91,48,2.64,59,0,0,40,0
"550","Davey Grant",68,135,69,"Orthodox",1985,3.93,47,2.47,63,2.3,45,66,0.2
"551","TJ Grant",70,155,72,"Orthodox",1984,3.95,54,3.21,56,1.63,43,36,0.6
"552","Tony Gravely",65,135,69,"Orthodox",1991,3.69,55,3.16,42,5.6,51,50,0.8
"553","Alexa Grasso",65,125,66,"Orthodox",1993,4.96,43,3.61,64,0.28,40,60,0.6
"554","Shelton Graves",74,255,76,"Southpaw",1985,2.19,69,0.81,33,4.86,57,0,0
"555","Michael Graves",70,170,71,"Orthodox",1991,1.25,54,1.47,58,4.8,52,66,0.4
"556","Kevin Gray",64,125,67,"Orthodox",1985,3.45,62,4.48,66,0,0,0,0
"557","Dwight Grant",73,170,76,"Switch",1984,3.39,37,2.16,69,0.34,100,78,0
"558","Max Griffin",71,170,76,"Orthodox",1985,4.14,48,3.94,56,1.7,51,66,0.5
"559","Tyson Griffin",66,145,68,"Orthodox",1984,3.71,41,2.3,65,1.87,46,59,0.9
"560","Gabe Green",70,170,73,"Switch",1993,6.57,46,7.23,49,1,100,57,0.5
"561","Bobby Green",70,155,71,"Orthodox",1986,5.17,51,3.32,63,1.56,41,72,0.3
"562","Matt Grice",68,145,70,"Orthodox",1981,4.09,53,2.69,56,2.19,37,82,0.5
"563","Maurice Greene",79,258,80,"Orthodox",1986,4.12,44,4.37,45,0,0,28,0.6
"564","Desmond Green",70,155,73,"Southpaw",1989,3.7,46,2.51,69,1.62,50,75,0
"565","Forrest Griffin",75,205,77,"Orthodox",1979,4.38,36,2.81,61,1.05,48,57,0.7
"566","Jordan Griffin",70,145,73,"Southpaw",1990,2.6,46,3.18,48,0.78,23,42,1.8
"567","Chad Griggs",73,205,73,"Orthodox",1978,2.67,50,2.22,46,1.51,66,41,0
"568","Maxim Grishin",75,220,78,"Orthodox",1984,2.95,44,2.33,56,0.38,33,66,0
"569","Josh Grispi",71,145,74,"Orthodox",1988,1.44,41,3.71,50,1.97,36,16,2.2
"570","Kendall Grove",78,185,79,"Orthodox",1982,2.31,41,2.4,54,0.49,45,56,1.7
"571","Wang Guan",69,145,71,"Orthodox",1986,4.73,43,3.27,60,0,0,0,0
"572","Chris Gruetzemacher",68,155,68,"Orthodox",1986,7.02,57,5.54,55,0,0,62,0
"573","Vik Grujic",71,170,73,"Orthodox",1977,2.24,48,3.39,41,1.18,33,26,0.4
"574","Mike Grundy",67,145,72,"Orthodox",1987,2.15,43,4.09,58,4.25,38,100,0.6
"575","Shannon Gugerty",70,155,71,"Orthodox",1981,1.25,39,1.88,58,2.13,27,50,3.4
"576","Clay Guida",67,155,70,"Orthodox",1981,2.44,34,2.57,63,3.36,38,68,0.7
"577","Melvin Guillard",69,155,71,"Orthodox",1983,2.96,40,1.85,66,1.3,63,61,0.2
"578","Marcelo Guimaraes",72,185,73,"Orthodox",1983,4.67,51,4.41,62,1.99,13,0,0
"579","John Gunther",69,155,72,"Orthodox",1985,1.65,37,3.72,46,7.08,42,0,0
"580","Jorge Gurgel",67,155,69,"Orthodox",1977,3.37,32,3.62,62,0.81,23,60,0.5
"581","John Gunderson",69,155,69,"Orthodox",1979,1.04,27,1.71,58,1.67,33,11,2
"582","Alexander Gustafsson",77,205,79,"Orthodox",1987,4.02,40,3.42,51,1.54,39,83,0.4
"583","Chris Gutierrez",69,145,67,"Orthodox",1991,4.3,57,2.45,59,0.57,60,73,0.2
"584","Tim Hague",76,260,76,"Orthodox",1983,2.79,47,4.14,46,1.72,33,85,0.9
"585","Chelsea Hackett",64,125,66,"Switch",1998,2.58,51,4.85,46,0,0,57,0
"586","Mike Guymon",72,170,74,"Orthodox",1974,2.75,65,0.79,66,1.87,37,54,1.2
"587","Damir Hadzovic",69,155,70,"Orthodox",1986,2.99,46,2.99,66,0.68,60,39,0.2
"588","Ryan Hall",70,145,70,"Southpaw",1985,2.32,43,0.96,75,0.31,16,0,0.9
"589","Dennis Hallman",69,155,72,"Orthodox",1975,1.12,44,1.96,43,1.79,30,25,2.1
"590","Uriah Hall",72,185,79,"Orthodox",1984,3.34,51,3.54,53,0.67,38,69,0.2
"591","Piotr Hallmann",69,155,71,"Orthodox",1987,3.98,45,3.17,58,2.55,44,70,0.4
"592","Seo Hee Ham",62,115,62,"Southpaw",1987,4.2,39,5.15,61,0,0,66,0.2
"593","Anthony Hamilton",77,260,76,"Orthodox",1980,3.91,65,3.02,45,2.62,42,78,0
"594","Matt Hamill",73,205,76,"Orthodox",1976,3.69,42,3.8,61,3,34,91,0
"595","CJ Hamilton",67,125,68,"Switch",1986,2.47,31,3.93,58,0,0,62,0
"596","Jared Hamman",75,185,75,"Orthodox",1982,5.15,42,3.93,55,1.57,46,30,0
"597","Nasrat Haqparast",70,155,72,"Southpaw",1995,5.81,47,3.23,74,0.18,16,84,0
"598","Kay Hansen",62,115,63,"Orthodox",1999,3.57,59,3.03,54,2.19,25,100,1.6
"599","Antoni Hardonk",76,245,78,"Orthodox",1976,3.4,61,3.07,46,0,0,40,0.9
"600","Dan Hardy",72,170,74,"Orthodox",1982,2.46,35,3.44,51,0.73,35,35,0.4
"601","Greg Hardy",77,265,80,"Orthodox",1988,4.83,50,3.12,56,0.21,33,80,0
"602","Phil Harris",64,125,65,"Orthodox",1983,2.34,26,3.16,68,1.76,21,60,0
"603","Dale Hartt",70,155,69,"Orthodox",1979,1.14,35,1.55,66,1.22,100,25,2.5
"604","Walt Harris",77,250,77,"Southpaw",1983,2.95,38,3.43,54,0.3,28,72,0.1
"605","Gerald Harris",71,185,77,"Southpaw",1979,1.41,29,1.58,62,2.96,54,72,0
"606","Clay Harvison",73,170,74,"Orthodox",1980,3.29,48,3.91,58,0.66,100,68,1.3
"607","John Hathaway",73,170,75,"Orthodox",1987,3.4,40,1.8,62,2.61,43,60,0.9
"608","Phil Hawes",72,185,77,"Orthodox",1989,2.84,52,4.18,47,3.13,35,0,0
"609","Dustin Hazelett",73,170,76,"Orthodox",1986,2.24,40,3.51,46,0.55,50,25,4.1
"610","James Head",73,170,73,"Orthodox",1984,2.75,48,3.11,49,0.41,100,66,0.8
"611","Pat Healy",72,155,72,"Orthodox",1983,2.57,36,2.57,50,3.08,37,55,1.1
"612","David Heath",71,205,72,"Orthodox",1976,1.48,30,5.16,49,0.33,50,57,1
"613","Marcin Held",69,155,71,"Orthodox",1992,1.41,34,2.02,47,2.46,46,37,1.3
"614","Nick Hein",66,155,66,"Southpaw",1984,2.65,35,3.61,59,0.86,33,83,0
"615","Ian Heinisch",71,185,72,"Orthodox",1988,3.28,50,2.79,58,1.13,18,60,0.8
"616","Jake Hecht",72,170,73,"Orthodox",1984,3.26,47,2.76,56,2.04,37,40,0
"617","Benson Henderson",69,170,70,"Southpaw",1983,2.93,45,1.79,63,2.4,45,63,0.8
"618","Johny Hendricks",69,185,69,"Southpaw",1983,3.49,45,3.99,53,3.83,46,63,0.3
"619","Dan Henderson",71,185,74,"Orthodox",1970,2.44,47,2.7,51,1.52,52,57,0.3
"620","Luis Henrique",74,243,74,"Orthodox",1993,1.81,43,2.22,47,3.09,36,50,1
"621","Danny Henry",72,145,73,"Orthodox",1988,5.2,51,4.16,45,0.74,33,50,2.2
"622","Jai Herbert",73,155,77,"Orthodox",1988,1.83,30,2.61,48,0,0,33,0
"623","Ed Herman",73,205,77,"Orthodox",1980,3.32,49,3.35,43,2.21,48,60,1.2
"624","Dave Herman",76,242,77,"Orthodox",1984,4.98,60,3.78,48,1.49,100,58,0
"625","Jack Hermansson",73,185,77,"Orthodox",1988,5.03,44,3.46,54,1.96,34,75,0.7
"626","Alexander Hernandez",69,155,72,"Orthodox",1992,3.57,35,3.81,59,1.6,38,62,0
"627","Anthony Hernandez",72,185,75,"Orthodox",1993,4.92,55,5.09,47,3.76,66,70,1.9
"628","Nohelin Hernandez",70,135,71,"Orthodox",1994,1.32,34,2.63,52,0.71,50,37,0
"629","Alvaro Herrera Mendoza",72,155,74,"Orthodox",1990,1.89,38,3.4,55,0,0,33,1.1
"630","Geane Herrera",65,125,66,"Orthodox",1990,1.51,31,5.07,52,0.83,37,38,0.6
"631","Felice Herrig",64,115,65,"Orthodox",1984,3.63,36,4.84,49,1.18,30,72,0.9
"632","Heath Herring",76,250,78,"Orthodox",1978,2.37,50,1.77,54,1.22,50,32,0.7
"633","Clint Hester",74,205,77,"Orthodox",1986,3.36,42,3.44,56,1.02,35,60,0
"634","Marcus Hicks",66,155,64,"Southpaw",1975,1.42,43,3.06,61,2.7,53,25,4
"635","Jimy Hettes",69,145,71,"Southpaw",1987,3.47,57,3.5,57,5.2,44,61,1.4
"636","Jay Hieron",72,170,75,"Orthodox",1976,1.66,32,1.89,61,4.05,60,66,1
"637","Jason High",68,155,73,"Southpaw",1981,1.28,42,1.56,48,2.36,63,37,2.8
"638","Jamahal Hill",76,205,79,"Southpaw",1991,7.9,52,3.15,49,0,0,53,0
"639","Kailan Hill",73,185,77,"Southpaw",1994,2.6,53,4.8,37,3,42,0,0
"640","Angela Hill",63,115,64,"Orthodox",1985,5.66,50,4.98,64,0.45,36,76,0.1
"641","Hatsu Hioki",71,145,73,"Orthodox",1983,2.42,42,2.12,65,2.55,56,54,0.6
"642","Kuniyoshi Hironaka",70,168,70,"Orthodox",1976,1.98,40,3.01,54,1.91,30,25,0.6
"643","Mizuto Hirota",67,155,67,"Orthodox",1981,3.36,40,3.5,54,1.36,50,58,0.1
"644","Corey Hill",76,155,80,"Orthodox",1978,3.57,46,1.61,70,3.02,80,100,0
"645","Matt Hobar",70,135,70,"Southpaw",1987,3.23,42,4.27,52,3.66,44,50,0
"646","Kevin Holland",75,185,81,"Orthodox",1992,4.14,56,2.58,56,1.08,45,51,0.7
"647","Andrew Holbrook",71,155,70,"Southpaw",1986,2.2,49,3,54,0.85,18,10,2.1
