player_name,pitch_type,result,release_speed,description,count,outs_when_up
"Sale, Chris",SI,B,94.4,ball,1-1,2
"Sale, Chris",SI,B,93.8,ball,0-1,2
"Sale, Chris",CH,S,84.1,called_strike,0-0,2
"Sale, Chris",SI,X,92.7,hit_into_play,0-0,2
"Sale, Chris",CH,S,85.1,swinging_strike,1-2,1
"Sale, Chris",CH,S,85.1,swinging_strike,1-1,1
"Sale, Chris",CH,S,84,swinging_strike,1-0,1
"Sale, Chris",SL,B,76.3,ball,0-0,1
"Sale, Chris",SL,S,79.3,called_strike,1-2,0
"Sale, Chris",SI,S,94.7,foul,1-2,0
"Sale, Chris",CH,S,85.6,foul,1-1,0
"Sale, Chris",CH,B,83.3,ball,0-1,0
"Sale, Chris",CH,S,89.8,foul,0-0,0
"Sale, Chris",SI,S,91.3,called_strike,1-2,2
"Sale, Chris",SI,B,93.1,ball,0-2,2
"Sale, Chris",SL,S,75.3,foul,0-1,2
"Sale, Chris",CH,S,82.9,called_strike,0-0,2
"Sale, Chris",CH,X,88.9,hit_into_play,0-0,1
"Sale, Chris",SL,S,77.6,swinging_strike_blocked,1-2,0
"Sale, Chris",SI,B,93.6,ball,0-2,0
"Sale, Chris",SI,S,92.2,foul,0-1,0
"Sale, Chris",CH,S,84.5,called_strike,0-0,0
"Sale, Chris",SI,X,92.6,hit_into_play,2-2,2
"Sale, Chris",SL,S,80.4,foul,2-2,2
"Sale, Chris",CH,B,84.5,ball,1-2,2
"Sale, Chris",SL,S,79.2,called_strike,1-1,2
"Sale, Chris",SI,S,92.7,called_strike,1-0,2
"Sale, Chris",CH,B,89.2,ball,0-0,2
"Sale, Chris",CH,X,84.1,hit_into_play,0-2,1
"Sale, Chris",SI,S,90.9,swinging_strike,0-1,1
"Sale, Chris",CH,S,83.4,swinging_strike,0-0,1
"Sale, Chris",SI,S,94.7,swinging_strike,1-2,0
"Sale, Chris",SI,S,91.9,swinging_strike,1-1,0
"Sale, Chris",SI,B,93.7,ball,0-1,0
"Sale, Chris",SI,S,91.1,called_strike,0-0,0
"Sale, Chris",SL,S,82.8,called_strike,1-2,2
"Sale, Chris",SL,B,83.7,ball,0-2,2
"Sale, Chris",SL,S,81,swinging_strike,0-1,2
"Sale, Chris",SL,S,79.3,called_strike,0-0,2
"Sale, Chris",SI,S,98.6,called_strike,1-2,1
"Sale, Chris",SI,S,97.2,foul,1-2,1
"Sale, Chris",SI,B,97.7,ball,0-2,1
"Sale, Chris",SI,S,96.8,called_strike,0-1,1
"Sale, Chris",CH,S,86.8,swinging_strike,0-0,1
"Sale, Chris",SL,S,82.6,swinging_strike,0-2,0
"Sale, Chris",SI,S,97.4,foul,0-1,0
"Sale, Chris",SI,S,96.2,foul_tip,0-0,0
"Sale, Chris",CH,X,87.6,hit_into_play,0-0,2
"Sale, Chris",SI,X,94.1,hit_into_play,0-0,2
"Sale, Chris",SI,S,97.2,swinging_strike,1-2,1
"Sale, Chris",SL,S,80.9,called_strike,1-1,1
"Sale, Chris",CH,B,85.6,ball,0-1,1
"Sale, Chris",SI,S,90.4,called_strike,0-0,1
"Sale, Chris",SI,X,94.2,hit_into_play,0-0,0
"Sale, Chris",SI,S,98.2,swinging_strike,2-2,2
"Sale, Chris",CH,S,85.7,called_strike,2-1,2
"Sale, Chris",SI,S,97.1,swinging_strike,2-0,2
"Sale, Chris",SL,B,78.2,ball,1-0,2
"Sale, Chris",SL,B,80,ball,0-0,2
"Sale, Chris",CH,X,86.5,hit_into_play,0-1,2
"Sale, Chris",CH,S,86.3,foul,0-0,2
"Sale, Chris",SI,S,97.8,swinging_strike,0-2,1
"Sale, Chris",SL,S,81.4,foul,0-2,1
"Sale, Chris",SI,S,95,foul,0-2,1
"Sale, Chris",SI,S,92.5,foul,0-1,1
"Sale, Chris",SI,S,96.1,foul,0-0,1
"Sale, Chris",CH,X,87,hit_into_play,2-2,0
"Sale, Chris",SI,B,96,ball,1-2,0
"Sale, Chris",SL,S,81.6,foul,1-2,0
"Sale, Chris",SI,B,95.3,ball,0-2,0
"Sale, Chris",SI,S,95.3,swinging_strike,0-1,0
"Sale, Chris",SL,S,77.1,called_strike,0-0,0
"Sale, Chris",CH,X,86.8,hit_into_play,1-1,2
"Sale, Chris",CH,B,85.8,ball,0-1,2
"Sale, Chris",CH,S,85.8,swinging_strike,0-0,2
"Sale, Chris",CH,X,87.2,hit_into_play,3-1,1
"Sale, Chris",CH,B,86.6,ball,2-1,1
"Sale, Chris",CH,B,86.8,ball,1-1,1
"Sale, Chris",CH,B,86.4,ball,0-1,1
"Sale, Chris",SL,S,77.6,swinging_strike,0-0,1
"Sale, Chris",SL,S,81.9,swinging_strike,0-2,0
"Sale, Chris",SI,S,95.7,called_strike,0-1,0
